Year,Month,Day,Hour,Minute,Second,MJD,RA,Dec
2021,5,15,12,16,23.2207,59349.51137986922,55.29575,54.90159
2021,5,15,12,16,25.0279,59349.51140078588,55.41245,55.05565
2021,5,15,12,16,26.8352,59349.511421703704,55.51812,55.20817
2021,5,15,12,16,28.6424,59349.511442620365,55.63282,55.36214
2021,5,15,12,16,30.4496,59349.51146353704,55.74204,55.51756
2021,5,15,12,16,32.2569,59349.51148445486,55.86002,55.67214
2021,5,15,12,16,34.0641,59349.511505371534,55.97294,55.82709
2021,5,15,12,16,35.8714,59349.51152628935,56.09043,55.98344
2021,5,15,12,16,37.6786,59349.51154720602,56.20926,56.14182
