E:\changchun\ChangChundata\mini\20210522\20210522_101_0071.PAS       21            36.5            45391            19.4            69.3   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0072.PAS       26            45.6            45392            27.5            53.9   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0073.PAS        8            12.8            41772           114.0             4.3   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0074.PAS       19            32.9            45783           258.8           525.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0075.PAS       31            56.5            20443            82.2            15.9   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0076.PAS       16            27.4            45405           199.7           410.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0077.PAS       20            34.7            39084            74.8             2.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0078.PAS       25            43.8            44720           155.5           232.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0086.PAS       25            43.8            45396            30.5           257.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0097.PAS       21            36.5            45781             9.8            15.1   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0110.PAS       33            58.4            19120            17.8             6.1   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0112.PAS       30            52.9            45398            22.4            91.4   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0113.PAS       22            38.3            45786            50.4           148.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0115.PAS       20            34.7            44723            14.1            39.7   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0117.PAS        9            14.6            47699            55.6            24.4   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0118.PAS       23            40.2            45773            43.3           107.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0119.PAS       12            20.2            40118           214.8             7.3   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0120.PAS        8            12.8            46541            40.4           109.4   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0121.PAS       20            34.6            42954           119.2            17.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0122.PAS       34            60.2            47546            37.1            13.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0125.PAS       16            27.4            44728             4.1            26.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0126.PAS       21            36.5            48255           189.5            43.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0128.PAS       24            42.0            45787            83.8           198.4   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0129.PAS       11            18.3            46567           198.3           594.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0130.PAS       19            32.8            44742            73.9           207.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0131.PAS       24            41.9             4589            51.6            20.1   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0132.PAS       32            56.6            17589            30.1            39.1   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0133.PAS       27            47.5            48254           157.1            26.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0134.PAS       12            20.1            44713             4.8            16.5   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0135.PAS       36            63.9            48251           243.7            60.7   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0136.PAS       24            42.0            43609            77.5            24.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0137.PAS       29            52.8            18153            47.7            33.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0138.PAS       30            52.9            46559            41.4           161.1   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0139.PAS       18            31.0            45772            90.1           128.4   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0140.PAS       14            23.7            46589             0.9            22.4   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0141.PAS       24            42.0            27421            14.5            17.7   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0142.PAS       13            21.9            44762           202.5           477.7   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0143.PAS        9            14.5            44753            52.5            69.9   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0144.PAS        7            11.0            48249           245.8           102.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0145.PAS        9            14.6             3341            12.1            15.7   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0146.PAS       35            62.1            45395            77.9           228.9   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0147.PAS       39            69.4            40336            73.9            32.0   
