tSec,x,y,z,vx,vy,vz,
3120,2518358.68559698,4860354.35617375,5437836.91841317,-5555.8434086544,-1806.87434658417,4184.25185673964,
3180,2181255.69728074,4744421.87172235,5680266.00742752,-5677.99890966384,-2056.52972837268,3894.6222603499,
3240,1837353.26355281,4613699.92717776,5904949.32229991,-5782.43390056377,-2299.72888860668,3592.88051172528,
3300,1487724.44278604,4468598.62234526,6111188.29234657,-5868.83008446179,-2535.71796010365,3279.97105396741,
3360,1133459.71081118,4309572.60382721,6298342.03216699,-5936.92528957749,-2763.76628403761,2956.87177803753,
3420,775663.574997413,4137119.60766075,6465829.25635668,-5986.51405137723,-2983.16855038564,2624.59094371387,
3480,415451.158430396,3951778.87734125,6613130.00891897,-6017.44804041296,-3193.24681659088,2284.16409084403,
3540,53944.761095518,3754129.46263525,6739787.20697421,-6029.63640586511,-3393.35247797449,1936.65092072311,
3600,-307729.595923801,3544788.40055655,6845407.99320827,-6023.04597533536,-3582.86821473686,1583.13202322558,
3660,-668445.630655929,3324408.7830542,6929664.88722949,-5997.70119123407,-3761.20979911967,1224.70546849898,
3720,-1027080.24896809,3093677.722517,6992296.73236647,-5953.68380807101,-3927.82769590047,862.483420262553,
3780,-1382516.97059145,2853314.22614315,7033109.44185094,-5891.13245093176,-4082.20851283186,497.588832344295,
3840,-1733649.32532956,2604066.98653975,7051976.54828928,-5810.24206192702,-4223.87634248099,131.152190518305,
3900,-2079384.21286151,2346712.09511617,7048839.55908818,-5711.26324650675,-4352.3939990609,-235.691694132312,
3960,-2418645.22109446,2082050.68301459,7023708.1206648,-5594.50154365948,-4467.36420624302,-601.806863750668,
4020,-2750375.89743263,1810906.49198803,6976659.99133321,-5460.3165784051,-4568.43073588729,-966.059413395387,
4080,-3073542.9654923,1534123.37955202,6907840.8223073,-5309.12109918909,-4655.2794601024,-1327.32068171442,
4140,-3387139.48168893,1252562.76284652,6817463.74724451,-5141.37993521044,-4727.63934937977,-1684.47045504924,
4200,-3690187.92559129,967101.003991192,6705808.77724545,-4957.60881628599,-4785.28341653667,-2036.40025393122,
4260,-3981743.21352569,678626.742140339,6573221.99657363,-4758.37299027724,-4828.02953795126,-2382.01667602376,
4320,-4260895.62337224,388038.180937983,6420114.55835455,-4544.28565350805,-4855.74112033944,-2720.24470795402,
4380,-4526773.62087972,96240.3400124864,6246961.4834567,-4316.00624444702,-4868.32763702265,-3050.03097684895,
4440,-4778546.57998902,-195857.722117895,6054300.26529016,-4074.23861462487,-4865.74504378839,-3370.34697360719,
4500,-5015427.38902238,-487345.706153073,5842729.2817861,-3819.72904774896,-4847.99605960069,-3680.1922524204,
4560,-5236674.93318757,-777314.882330172,5612906.01727903,-3553.26412312548,-4815.1302913108,-3978.5975579432,
4620,-5441596.44552457,-1064860.90394594,5365545.09992184,-3275.66847650313,-4767.24422480296,-4264.62784832574,
4680,-5629549.72107336,-1349086.61777988,5101416.15975138,-2987.80247447437,-4704.48113620806,-4537.38526371679,
4740,-5799945.18734517,-1629104.86661641,4821341.50858957,-2690.55973611096,-4627.03090594311,-4796.0121009548,
4800,-5952247.81978634,-1904041.2754221,4526193.64170918,-2384.86443934147,-4535.12964287714,-5039.69376641049,
4860,-6085978.88934738,-2173037.00735346,4216892.56583385,-2071.6684292755,-4429.0590514723,-5267.66158825604,
