MJD,X_ECI,Y_ECI,Z_ECI,VX_ECI,VY_ECI,VZ_ECI,
59348.962766203701904,-2750376.466603538021445,1810906.296157784527168,6976659.681055588647723,-5460.316582822739292,-4568.430811514340348,-966.059977450040719,
59348.963460648097680,-3073543.532018533907831,1534123.178974742069840,6907840.478782133199275,-5309.121064368753650,-4655.279523269774472,-1327.321248667462896,
59348.964155092602596,-3387140.042904946021736,1252562.558754620375112,6817463.370395794510841,-5141.379860997580181,-4727.639400010022655,-1684.471023133329936,
59348.964849536998372,-3690188.478651953861117,967100.796622126596048,6705808.368031849153340,-4957.608701585691961,-4785.283454233922384,-2036.400818547501103,
59348.965543981503288,-3981743.757161699701101,678626.532267682254314,6573221.555147701874375,-4758.372835439879054,-4828.029561996646407,-2382.017235088724192,
59348.966238425899064,-4260896.154280401766300,388037.970464486221317,6420114.084508313797414,-4544.285458787494463,-4855.741129671136150,-2720.245257630234391,
59348.966932870396704,-4526774.137324239127338,96240.128877963710693,6246960.977996095083654,-4316.006009729653670,-4868.327632834653741,-3050.031513225079834,
59348.967627314799756,-4778547.078869726508856,-195857.933195109973894,6054299.730175939388573,-4074.238340869559124,-4865.745024941083102,-3370.347493842401036,
59348.968321759297396,-5015427.868188463151455,-487345.916298193798866,5842728.717651014216244,-3819.728735932207655,-4847.996026264348075,-3680.192752423494312,
59348.969016203700448,-5236675.391476950608194,-777315.089593738783151,5612905.425150183029473,-3553.263775348510535,-4815.130244248144663,-3978.598034247717351,
59348.969710648103501,-5441596.879622046835721,-1064861.108841413399205,5365544.481344501487911,-3275.668094853196635,-4767.244164477737286,-4264.628298517905932,
59348.970405092601140,-5629550.130123234353960,-1349086.818755674874410,5101415.516406141221523,-2987.802060193609123,-4704.481063138877289,-4537.385685117792491,
59348.971099536996917,-5799945.568909643217921,-1629105.063624084228650,4821340.843239863403141,-2690.559292814118180,-4627.030821246732557,-4796.012490674893343,
59348.971793981501833,-5952248.172449725680053,-1904041.467216890770942,4526192.955428494140506,-2384.863968626967107,-4535.129547897494376,-5039.694124088710851,
59348.972488425897609,-6085979.212037405930459,-2173037.193173591513187,4216891.860814525745809,-2071.667933455861203,-4429.058946656135959,-5267.661911435302500,
59348.973182870402525,-6200717.823621597141027,-2435251.654439751058817,3894402.243724522646517,-1751.947714135297474,-4309.145477346409280,-5479.195666086277015,
59348.973877314798301,-6296102.403076226823032,-2689865.170353632885963,3559730.486836163792759,-1426.701530251583335,-4175.759414792501957,-5673.626035826869156,
