MJD,Interpolated_X,Interpolated_Y,Interpolated_Z,Interpolated_VX,Interpolated_VY,Interpolated_VZ
59350.52767038888,-4196510.825257832,663139.7128014537,6440040.613853255,-4838.665884008488,-4587.054632749796,-2678.2379092008932
59350.52769151968,-4205338.723972546,654764.1704134544,6435141.644393362,-4832.027387536428,-4588.096049877855,-2688.4334593773624
59350.52771265047,-4214154.486982172,646386.7416719001,6430224.069645697,-4825.37492331286,-4589.12423503413,-2698.621278456455
59350.52773378125,-4222958.085788018,638007.453618524,6425287.9054641295,-4818.708512615237,-4590.13918481405,-2708.801333568496
59350.52775491204,-4231749.504043097,629626.3217583826,6420333.16094468,-4812.028167569868,-4591.140897239303,-2718.973605880779
59350.52777604282,-4240528.713301377,621243.3731417756,6415359.852022894,-4805.333909515525,-4592.129368962011,-2729.138062555207
59350.527797173614,-4249295.691201621,612858.6290521874,6410367.991269424,-4798.6257552259485,-4593.104597357024,-2739.2946777773586
59350.52781830324,-4258049.927392459,604472.5786364296,6405357.871286602,-4791.9040968467825,-4594.066526527231,-2749.44285985237
59350.52784059144,-4267270.859923421,595624.8175466169,6400052.968058321,-4784.798864765491,-4595.066842266145,-2760.1389185102075
59350.52786056481,-4275522.478712482,587694.3511061943,6395281.5340736415,-4778.41849711887,-4595.950739682854,-2769.7165959321887
59350.527881695605,-4284240.266686787,579302.6785818122,6390215.617860268,-4771.654959532792,-4596.872965298966,-2779.841539107119
59350.52790282639,-4292945.690917275,570909.3372958086,6385131.225544569,-4764.877626381666,-4597.781932703158,-2789.9584876156823
59350.52792511458,-4302114.516648561,562054.4808931721,6379748.337122477,-4757.714145980974,-4598.7263171166,-2800.6208820428933
59350.52794508796,-4310319.356519691,554117.7365894136,6374907.065891856,-4751.281643752267,-4599.560082938015,-2810.168294389445
59350.527966218746,-4318987.547659869,545719.5255911205,6369767.327943009,-4744.463033047879,-4600.4292604138855,-2820.261094354838
59350.52798734954,-4327643.280575015,537319.7368935324,6364609.169147686,-4737.630699644703,-4601.285169580496,-2830.3457900131043
59350.52800848032,-4336286.524276318,528918.4005051312,6359432.607885677,-4730.78466773482,-4602.127807264891,-2840.4223453235304
59350.52802961111,-4344917.256753627,520515.53776281246,6354237.657264926,-4723.924954494857,-4602.9571712180705,-2850.4907346859154
59350.52805074189,-4353535.450221166,512111.17565897095,6349024.333933019,-4717.0515817496025,-4603.773258662257,-2860.5509257439603
59350.52807187268,-4362141.088805816,503705.32959864184,6343792.647387884,-4710.164561874572,-4604.576067973197,-2870.6029000321205
