tSec,x,y,z,vx,vy,vz,
1120,4987641.65565111,459084.402160133,-5870282.95252965,3843.53350013726,4855.56703124107,3642.96380507797,
1130,5025860.56734839,507619.50295624,-5833599.20050461,3800.19345991699,4851.383083228,3693.73384072977,
1140,5063644.42347157,556110.663502237,-5796409.33823907,3756.52300730885,4846.7790396807,3744.18512005634,
1150,5100989.93860502,604553.684656747,-5758716.57524581,3712.52588880201,4841.75526940343,3794.3132575752,
1160,5137893.86494271,652944.371146758,-5720524.16475905,3668.20587977815,4836.31217726397,3844.11389455223,
1170,5174352.99257565,701278.531928223,-5681835.40346497,3623.56678421618,4830.45020418505,3893.58269938406,
1180,5210364.14977638,749551.980546545,-5642653.63122858,3578.61243439381,4824.16982713299,3942.71536797929,
1190,5245924.20328049,797760.535496956,-5602982.23081664,3533.3466905862,4817.47155910362,3991.50762413838,
1200,5281030.058565,845900.020584721,-5562824.62761688,3487.77344076149,4810.35594910517,4039.95521993209,
1210,5315678.66012383,893966.265285168,-5522184.28935338,3441.89660027373,4802.82358213841,4088.05393607837,
1220,5349866.99174006,941955.105103502,-5481064.72579826,3395.7201115529,4794.87507917377,4135.79958231771,
1230,5383592.07675515,989862.381934374,-5439469.48847956,3349.24794379238,4786.51109712581,4183.18799778688,
1240,5416850.97833501,1037683.94442119,-5397402.17038542,3302.48409263386,4777.73232882484,4230.21505139112,
1250,5449640.79973287,1085415.64831509,-5354866.40566453,3255.43257984955,4768.53950298583,4276.87664217479,
1260,5481958.68454902,1133053.35683368,-5311865.86932291,3208.09745302198,4758.93338417474,4323.16869969057,
1270,5513801.81698726,1180592.94101931,-5268404.27691698,3160.48278522103,4748.9147727722,4369.0871843672,
1280,5545167.4221082,1228030.28009704,-5224485.38424297,3112.59267467839,4738.48450493463,4414.62808787596,
1290,5576052.76607918,1275361.26183222,-5180112.98702264,3064.43124445919,4727.64345255261,4459.78743349589,
1300,5606455.156421,1322581.78288758,-5135290.92058543,3016.00264213082,4716.39252320672,4504.56127647781,
1310,5636371.94225124,1369687.74917993,-5090023.05954689,2967.31103942871,4704.7326601204,4548.94570440722,
1320,5665800.51452427,1416675.07623629,-5044313.31748353,2918.36063191904,4692.66484211003,4592.93683756606,
1330,5694738.30626787,1463539.68954963,-4998165.64660405,2869.15563865825,4680.19008353169,4636.53082929336,
1340,5723182.7928164,1510277.5249339,-4951584.037417,2819.70030184925,4667.3094342248,4679.72386634469,
1350,5751131.49204054,1556884.52887864,-4904572.51839477,2769.99888649424,4654.02397945211,4722.5121692502,
1360,5778581.96457351,1603356.65890287,-4857135.1556341,2720.05568004425,4640.33483983609,4764.89199267126,
1370,5805531.81403384,1649689.88390835,-4809276.052513,2669.87499204524,4626.24317129144,4806.85962575535,
1380,5831978.68724449,1695880.18453215,-4760999.34934407,2619.46115378102,4611.75016495374,4848.41139248902,
1390,5857920.27444844,1741923.55349849,-4712309.22302441,2568.81851791282,4596.85704710422,4889.54365204876,
1400,5883354.30952068,1787815.9959698,-4663209.88668194,2517.95145811592,4581.56507909058,4930.25279914949,
1410,5908278.57017648,1833553.52989698,-4613705.58931831,2466.86436871309,4565.87555724422,4970.53526439062,
1420,5932690.87817605,1879132.1863688,-4563800.6154483,2415.56166430519,4549.78981279364,5010.38751459947,
1430,5956589.09952542,1924548.00996043,-4513499.28473587,2364.04777939872,4533.30921177457,5049.80605317195,
1440,5979971.14467368,1969797.05908105,-4462805.95162677,2312.32716803054,4516.43515493658,5088.7874204106,
1450,6002834.96870636,2014875.40632049,-4411725.0049778,2260.40430338944,4499.16907764649,5127.32819385977,
1460,6025178.57153505,2059779.13879493,-4360260.86768269,2208.28367743488,4481.51244978845,5165.4249886381,
1470,6046999.99808317,2104504.35849154,-4308417.99629477,2155.96980051242,4463.46677566073,5203.0744577681,
1480,6068297.33846792,2149047.18261213,-4256200.88064626,2103.46720096629,4445.03359386911,5240.27329250282,
1490,6089068.72817834,2193403.7439156,-4203614.04346433,2050.78042474871,4426.21447721682,5277.01822264953,
1500,6109312.34824934,2237570.19105944,-4150662.03998398,1997.91403502632,4407.01103259073,5313.3060168903,
1510,6129026.42543197,2281542.68893992,-4097349.45755768,1944.87261178367,4387.42490084395,5349.13348309932,
1520,6148209.23235951,2325317.41903116,-4043680.91526191,1891.66075142398,4367.45775667449,5384.49746865693,
1530,6166859.08770972,2368890.57972299,-3989661.06350051,1838.2830663673,4347.11130850005,5419.39486076011,
1540,6184974.35636295,2412258.38665746,-3935294.58360498,1784.74418464623,4326.38729832892,5453.82258672942,
1550,6202553.44955624,2455417.0730641,-3880586.18743174,1731.04874949936,4305.28750162681,5487.77761431223,
1560,6219594.82503337,2498362.89009382,-3825540.61695634,1677.20141896264,4283.81372717987,5521.25695198216,
1570,6236096.98719071,2541092.10715142,-3770162.64386474,1623.20686545878,4261.9678169537,5554.25764923453,
1580,6252058.48721913,2583601.01222664,-3714457.06914163,1569.06977538486,4239.75164594872,5586.77679687778,
1590,6267477.92324157,2625885.91222379,-3658428.72265584,1514.79484869835,4217.16712205169,5618.81152732073,
1600,6282353.94044664,2667943.13328982,-3602082.46274292,1460.38679850172,4194.21618588391,5650.35901485558,
1610,6296685.23121797,2709769.02114096,-3545423.17578495,1405.85035062579,4170.90081064598,5681.41647593663,
1620,6310470.53525937,2751359.94138766,-3488455.77578748,1351.19024321207,4147.22300195952,5711.98116945474,
1630,6323708.63971592,2792712.27985803,-3431185.20395384,1296.41122629432,4123.18479770616,5742.05039700769,
1640,6336398.3792907,2833822.4429196,-3373616.42825677,1241.51806137926,4098.78826786386,5771.62150316661,
1650,6348538.63635753,2874686.8577995,-3315754.4430073,1186.51552102683,4074.03551434091,5800.6918757388,
1660,6360128.34106929,2915301.97290288,-3257604.26842113,1131.40838842963,4048.9286708077,5829.25894602741,
1670,6371166.47146222,2955664.25812967,-3199170.9501824,1076.20145699178,4023.46990252638,5857.32018908838,
1680,6381652.05355592,2995770.20518971,-3140459.55900483,1020.89952990666,3997.66140617814,5884.87312398513,
1690,6391584.16144907,3035616.32791598,-3081475.19019044,965.50741973334,3971.50540968812,5911.91531404143,
1700,6400961.91741101,3075199.1625762,-3022222.96318565,910.029947971352,3945.00417204742,5938.44436709266,
1710,6409784.49196901,3114515.26818259,-2962708.02113495,854.471944633148,3918.15998313188,5964.45793573578,
1720,6418051.10399122,3153561.22679978,-2902935.53043197,798.838247813991,3890.97516351708,5989.95371757766,
1730,6425761.02076536,3192333.64385085,-2842910.68026824,743.133703258796,3863.45206428909,6014.92945548186,
1740,6432913.55807304,3230829.14842151,-2782638.68217932,687.363163925633,3835.59306685055,6039.38293781308,
1750,6439508.08025968,3269044.39356224,-2722124.76958864,631.531489545706,3807.40058272171,6063.31199867911,
1760,6445544.00030001,3306976.05658846,-2661374.19734879,575.64354617973,3778.87705333621,6086.71451816931,
1770,6451020.77985919,3344620.83937862,-2600392.24128064,519.704205770702,3750.02494983151,6109.58842258925,
1780,6455937.92934931,3381975.46867019,-2539184.19770992,463.718345693165,3720.84677283388,6131.93168469078,
1790,6460295.00798149,3419036.69635341,-2477755.38300169,407.690848299119,3691.34505223805,6153.74232389697,
1800,6464091.62381335,3455801.29976288,-2416111.13309249,351.626600460748,3661.52234698161,6175.01840652142,
1810,6467327.43379193,3492266.08196683,-2354256.8030204,295.530493110194,3631.38124481426,6195.75804598138,
1820,6470002.14379193,3528427.87205406,-2292197.76645293,239.407420776625,3600.924362062,6215.95940300433,
1830,6472115.50864942,3564283.52541853,-2229939.41521294,183.262281120914,3570.15434338647,6235.62068582744,
1840,6473667.33219077,3599829.92404146,-2167487.15880257,127.099974468274,3539.0738615395,6254.74015038963,
1850,6474657.467257,3635063.97677099,-2104846.42392527,70.9254033393088,3507.68561711316,6273.31610051567,
1860,6475085.81572332,3669982.61959934,-2042022.65400611,14.7434719799969,3475.99233828549,6291.34688809207,
1870,6474952.32851408,3704582.81593737,-1979021.30871026,-41.4409141088116,3443.99678056216,6308.83091323443,
1880,6474257.00561295,3738861.55688653,-1915847.86345992,-97.6228486417185,3411.70172651457,6325.7666244461,
1890,6472999.89606844,3772815.86150821,-1852507.80894971,-153.797425018249,3379.1099855148,6342.15251876803,
1900,6471181.09799467,3806442.77709041,-1789006.65066055,-209.959736790799,3346.22439346782,6357.98714192005,
1910,6468800.75856752,3839739.37941174,-1725349.9083722,-266.104878130429,3313.04781254161,6373.26908843371,
1920,6465859.07401616,3872702.77300265,-1661543.11567455,-322.227944289961,3279.58313089567,6387.99700177725,
1930,6462356.28960989,3905330.09140402,-1597591.81947761,-378.324032063972,3245.83326240842,6402.16957447313,
1940,6458292.69964046,3937618.49742296,-1533501.57952043,-434.388240245378,3211.80114640397,6415.78554820899,
1950,6453668.64739979,3969565.18338593,-1469277.96787893,-490.415670078498,3177.48974737852,6428.84371394256,
1960,6448484.52515326,4001167.37138904,-1404926.56847266,-546.401425708616,3142.90205472672,6441.3429120014,
1970,6442740.77410841,4032422.31354573,-1340452.97657068,-602.340614628167,3108.04108246804,6453.28203217817,
1980,6436437.88437926,4063327.2922316,-1275862.79829639,-658.228348119836,3072.90986897333,6464.66001382204,
1990,6429576.39494624,4093879.62032659,-1211161.65013156,-714.05974169687,3037.51147669122,6475.47584592688,
2000,6422156.89361166,4124076.64145436,-1146355.15841943,-769.829915541018,3001.84899187458,6485.72856721656,
2010,6414180.01695085,4153915.73021899,-1081448.95886703,-825.533994938508,2965.92552430654,6495.41726622792,
2020,6405646.45025895,4183394.2924389,-1016448.69604659,-881.167110714485,2929.744207026,6504.5410813916,
2030,6396556.92749335,4212509.76537801,-951360.02289624,-936.724399666366,2893.30819605229,6513.0992011108,
2040,6386912.23121179,4241259.61797421,-886188.600219911,-992.201004996538,2856.6206701087,6521.09086383835,
2050,6376713.19250616,4269641.35106498,-820940.09618643,-1047.59207674483,2819.68483034462,6528.51535815187,
2060,6365960.69093198,4297652.49761026,-755620.18582792,-1102.89277222118,2782.50390005588,6535.37202282709,
2070,6354655.6544335,4325290.62291249,-690234.550537458,-1158.09825643891,2745.08112440301,6541.66024690921,
2080,6342799.05926451,4352553.32483387,-624788.877566034,-1213.20370254893,2707.41977012714,6547.37946978198,
2090,6330391.9299048,4379438.23401073,-559288.859518827,-1268.20429227525,2669.52312526312,6552.52918123426,
2100,6317435.33897222,4405943.014065,-493740.193850839,-1323.09521635199,2631.39449884965,6557.10892152364,
2110,6303930.40713041,4432065.36181279,-428148.582361896,-1377.87167496198,2593.03722063612,6561.11828143667,
2120,6289878.30299211,4457803.00747003,-362519.73069108,-1432.5288781772,2554.45464078588,6564.5569023451,
2130,6275280.24301803,4483153.7148551,-296859.347810611,-1487.06204640068,2515.65012957586,6567.42447625779,
2140,6260137.49141138,4508115.28158847,-231173.145519237,-1541.46641081005,2476.62707709238,6569.7207458675,
2150,6244451.36000785,4532685.5392892,-165466.837935184,-1595.73721380215,2437.3888929231,6571.44550459233,
2160,6228223.2081612,4556862.35376847,-99746.1409887206,-1649.86970943863,2397.93900584517,6572.59859661115,
2170,6211454.44262441,4580643.62521984,-34016.7719143975,-1703.85916389196,2358.28086350967,6573.17991689285,
