tSec,x,y,z,vx,vy,vz,
1560,6219594.82537433,2498362.89031256,-3825540.61702624,1677.20141941135,4283.81372743074,5521.25695183052,
1620,6310470.5356283,2751359.94162193,-3488455.77586698,1351.19024369558,4147.22300222691,5711.98116928665,
1680,6381652.05395501,2995770.2054406,-3140459.55909491,1020.89953042891,3997.66140646525,5884.87312380112,
1740,6432913.55850474,3230829.14869032,-2782638.6822809,687.363164490683,3835.59306716095,6039.38293761421,
1800,6464091.62428035,3455801.30005111,-2416111.13320641,351.626601072691,3661.52234731925,6175.01840630935,
1860,6475085.81622855,3669982.61990877,-2042022.6541331,14.7434726429072,3475.99233865467,6291.34688786914,
1920,6465859.07456281,3872702.7733353,-1661543.11581517,-322.227943572106,3279.583131301,6387.99700154652,
1980,6436437.88497074,4063327.29258978,-1275862.79845099,-658.228347343239,3072.90986941974,6464.66001358736,
2040,6386912.23185173,4241259.61836055,-886188.600388601,-992.201004157679,2856.62067060135,6521.0908636044,
2100,6317435.33966445,4405943.01448242,-493740.194033409,-1323.09521544771,2631.39449939393,6557.10892129596,
2160,6228223.20890973,4556862.35422024,-99746.1411846054,-1649.86970846625,2397.93900644658,6572.59859639615,
2220,6119553.94878039,4693545.77440129,294560.024681875,-1971.49603732483,2156.98827210287,6567.50982353956,
2280,5991766.90435056,4815566.18977112,687943.739555242,-2286.96202718536,1909.30039870022,6541.85834072662,
2340,5845261.57721763,4922542.65836261,1079173.35830136,-2595.27520010698,1655.654959056,6495.72567839051,
2400,5680496.34320819,5014141.5908832,1467024.09442341,-2895.46610459067,1396.85035937402,6429.25885457356,
2460,5497986.97378975,5090077.8005465,1850281.9339294,-3186.59153227119,1133.70116043503,6342.66982417005,
2520,5298304.96731748,5150115.39081504,2227747.50923018,-3467.73764030611,867.035350716424,6236.23469376429,
2580,5082075.69642651,5194068.47805477,2598239.91835494,-3738.02294852968,597.691574309479,6110.29268479901,
2640,4849976.38037025,5221801.7471934,2960600.47522907,-3996.60117683486,326.516339619739,5965.24488242241,
2700,4602733.89125868,5233230.83941132,3313696.37962723,-4242.66395398399,54.361208447763,5801.55281019003,
2760,4341122.40050728,5228322.569926,3656424.29545265,-4475.44343414905,-217.920059712309,5619.73678383776,
2820,4065960.87259222,5207094.97348563,3987713.82134702,-4694.21474914056,-489.474382161729,5420.37396221442,
2880,3778110.41947246,5169617.17930859,4306530.83614112,-4898.29819137085,-759.452147508215,5204.09614616077,
2940,3478471.53197564,5116009.12216796,4611880.70826031,-5087.06114526836,-1027.00988468882,4971.58746431892,
3000,3167981.20064813,5046441.09612442,4902811.36451602,-5259.91985232472,-1291.312848808,4723.5819985546,
3060,2847609.93470376,4961133.15442782,5178416.21375107,-5416.34104184994,-1551.53756661541,4460.86131271529,
3120,2518358.68763857,4860354.35775607,5437836.91854101,-5555.84340702909,-1806.87434463453,4184.25185809957,
3180,2181255.69941907,4744421.87342425,5680266.00764275,-5677.99890806715,-2056.52972633743,3894.62226190442,
3240,1837353.26578571,4613699.9290042,5904949.32261448,-5782.4338990107,-2299.72888649156,3592.88051348415,
3300,1487724.44511042,4468598.62430084,6111188.29277303,-5868.83008296824,-2535.71795791557,3279.97105593945,
3360,1133459.71322297,4309572.60591606,6298342.03271837,-5936.92528816016,-2763.76628178469,2956.87178023048,
3420,775663.577491525,4137119.60988649,6465829.25704643,-5986.51405005356,-2983.16854807718,2624.59094613425,
3480,415451.161000669,3951778.8797069,6613130.00976089,-6017.44803920097,-3193.24681423737,2284.16409349701,
3540,53944.7637346988,3754129.46514318,6739787.20798239,-6029.6364047833,-3393.3524755876,1936.65092361236,
3600,-307729.593224087,3544788.40320838,6845407.99439695,-6023.04597440258,-3582.86821232937,1583.13202635318,
3660,-668445.627905195,3324408.78585074,6929664.88861299,-5997.70119046934,-3761.20979670546,1224.70547186528,
3720,-1027080.24617699,3093677.72545823,6992296.73395907,-5953.68380749342,-3927.82769349445,862.483423866079,
3780,-1382516.96777179,2853314.2292281,7033109.44366679,-5891.13245056025,-4082.20851044986,497.588836181682,
3840,-1733649.32249425,2604066.98976649,7051976.55034227,-5810.24206178026,-4223.87634013975,131.15219458421,
3900,-2079384.2100246,2346712.09848172,7048839.56139179,-5711.26324660309,-4352.39399677801,-235.691689845268,
3960,-2418645.21827106,2082050.68651491,7023708.12323205,-5594.50154401652,-4467.36420403668,-601.806859251938,
4020,-2750375.89463889,1810906.49561797,6976659.99417645,-5460.31657903932,-4568.43073377597,-966.059408696485,
4080,-3073542.96274532,1534123.38330532,6907840.82543814,-5309.12110011602,-4655.27945810503,-1327.32067682892,
4140,-3387139.47900672,1252562.76671576,6817463.7506737,-5141.37993644452,-4727.63934751559,-1684.4704499928,
4200,-3690187.92299266,967101.007967804,6705808.78098272,-4957.60881784038,-4785.28341482509,-2036.4002487215,
4260,-3981743.21103023,678626.746214582,6573222.00062759,-4758.37299216365,-4828.02953641172,-2382.01667068043,
4320,-4260895.62100019,388038.185098954,6420114.56273258,-4544.28565573663,-4855.74111899125,-2720.24470249866,
