tSec,x,y,z,vx,vy,vz,
85510,-5263064.9796232,-602360.648978372,5609700.75499213,-3711.070702088,-4691.56706918637,-3982.21277288324,
85520,-5299947.19658526,-649249.552590828,5569635.69654523,-3665.31919509644,-4686.14592677911,-4030.74120261434,
85530,-5336370.30019516,-696082.213740072,5529087.09224997,-3619.24869006095,-4680.3186533758,-4078.92124028013,
85540,-5372331.12027167,-742854.573479509,5488058.44704645,-3572.86315151673,-4674.0857274895,-4126.74868688391,
85550,-5407826.52641923,-789562.577822827,5446553.30771729,-3526.16657201562,-4667.44766265919,-4174.21937298209,
85560,-5442853.42830658,-836202.178094107,5404575.26259029,-3479.16297180858,-4660.40500741884,-4221.3291590428,
85570,-5477408.77594215,-882769.331277614,5362127.94123751,-3431.85639852928,-4652.95834526621,-4268.07393580241,
85580,-5511489.55994629,-929260.00036728,5319215.01417082,-3384.2509268782,-4645.10829463188,-4314.44962462095,
85590,-5545092.81182037,-975670.154715881,5275840.19253391,-3336.35065830689,-4636.8555088489,-4360.45217783755,
85600,-5578215.60421274,-1021995.77038391,5232007.22779068,-3288.15972070121,-4628.200676123,-4406.07757912697,
85610,-5610855.05118142,-1068232.83048816,5187719.91141012,-3239.68226806253,-4619.14451950335,-4451.32184385782,
85620,-5643008.30845369,-1114377.32555001,5142982.07454757,-3190.92248018562,-4609.68779685325,-4496.18101945309,
85630,-5674672.57368241,-1160425.25384342,5097797.58772235,-3141.88456233201,-4599.83130082008,-4540.65118575287,
85640,-5705845.08669897,-1206372.62174261,5052170.36049177,-3092.5727448978,-4589.57585880373,-4584.72845537899,
85650,-5736523.12976302,-1252215.44406942,5006104.34112151,-3042.9912830751,-4578.92233292244,-4628.40897410093,
85660,-5766704.02780864,-1297949.74444032,4959603.51625225,-2993.14445650677,-4567.87161997545,-4671.68892120187,
85670,-5796385.14868716,-1343571.555613,4912671.9105628,-2943.03656893428,-4556.4246514014,-4714.56450984384,
85680,-5825563.90340632,-1389076.91983253,4865313.5864294,-2892.67194783921,-4544.58239323231,-4757.03198743069,
85690,-5854237.74636584,-1434461.88917708,4817532.64358157,-2842.05494407907,-4532.34584604271,-4799.08763596775,
85700,-5882404.17558938,-1479722.52590303,4769333.21875426,-2791.18993151845,-4519.71604489416,-4840.72777241742,
85710,-5910060.73295272,-1524854.90278957,4720719.48533657,-2740.08130665659,-4506.69405927544,-4881.94874905017,
85720,-5937205.00440827,-1569855.10348266,4671695.65301689,-2688.7334882525,-4493.2809930391,-4922.74695379105,
85730,-5963834.62020571,-1614719.22283832,4622265.96742468,-2637.15091694847,-4479.47798433491,-4963.11881056222,
85740,-5989947.25510904,-1659443.36726527,4572434.70976876,-2585.33805489258,-4465.28620554086,-5003.06077962249,
85750,-6015540.62860967,-1704023.65506684,4522206.19647226,-2533.29938535992,-4450.70686319199,-5042.56935790513,
85760,-6040612.50513579,-1748456.21678221,4471584.77880424,-2481.03941237233,-4435.74119790722,-5081.64107935529,
85770,-6065160.69425799,-1792737.19552685,4420574.8425078,-2428.56266031531,-4420.39048431351,-5120.27251526808,
85780,-6089183.05089089,-1836862.74733221,4369180.80742495,-2375.87367355096,-4404.65603096662,-5158.46027462807,
85790,-6112677.475491,-1880829.04148459,4317407.12711796,-2322.97701602539,-4388.53918026734,-5196.20100444997,
85800,-6135641.91425054,-1924632.26086316,4265258.28848742,-2269.87727086927,-4372.04130837159,-5233.49139011986,
85810,-6158074.35928727,-1968268.60227701,4212738.81138675,-2216.5790399909,-4355.16382509323,-5270.32815573539,
85820,-6179972.84883019,-2011734.27680125,4159853.24823344,-2163.08694366134,-4337.90817379829,-5306.70806444278,
85830,-6201335.46740108,-2055025.5101119,4106606.18361691,-2109.4056200924,-4320.27583129005,-5342.6279187684,
85840,-6222160.34599176,-2098138.5428197,4053002.23390303,-2055.53972500867,-4302.26830768473,-5378.0845609424,
85850,-6242445.66223704,-2141069.63080258,3999046.04683555,-2001.49393121542,-4283.88714627823,-5413.07487321264,
85860,-6262189.6405834,-2183815.04553672,3944742.3011344,-1947.27292816473,-4265.133923405,-5447.5957781472,
85870,-6281390.55245327,-2226371.07442624,3890095.706091,-1892.88142152216,-4246.01024829043,-5481.64423892513,
85880,-6300046.71640499,-2268734.02113132,3835111.00116076,-1838.32413273625,-4226.51776289846,-5515.21725961535,
85890,-6318156.49828854,-2310900.20589484,3779792.95555283,-1783.60579861265,-4206.65814177644,-5548.31188544475,
85900,-6335718.31139698,-2352865.96586741,3724146.36781722,-1728.7311708942,-4186.43309189883,-5580.92520305704,
85910,-6352730.61661376,-2394627.65543088,3668176.06542936,-1673.70501584776,-4165.84435251156,-5613.05434076423,
85920,-6369191.92255593,-2436181.64652027,3611886.90437221,-1618.53211385768,-4144.89369497834,-5644.69646879319,
85930,-6385100.7857129,-2477524.32894369,3555283.76871607,-1563.21725888256,-4123.58292244281,-5675.84879944851,
85940,-6400455.81058035,-2518652.11069955,3498371.57019654,-1507.76525834484,-4101.9138700546,-5706.50858751778,
85950,-6415255.64979484,-2559561.41829848,3441155.24778737,-1452.18093273911,-4079.88840482635,-5736.67313051702,
85960,-6429499.00425985,-2600248.69707765,3383639.76727346,-1396.46911495464,-4057.50842511795,-5766.33976877603,
85970,-6443184.62326881,-2640710.41151495,3325830.12082089,-1340.63465002602,-4034.77586068537,-5795.50588577162,
85980,-6456311.30462458,-2680943.0455422,3267731.32654416,-1284.68239473771,-4011.69267254352,-5824.16890838412,
85990,-6468877.89475493,-2720943.10285713,3209348.42807088,-1228.61721722325,-3988.26085282918,-5852.3263071584,
86000,-6480883.28882403,-2760707.10723385,3150686.49410378,-1172.44399655743,-3964.48242466237,-5879.97559656866,
86010,-6492326.43083978,-2800231.602832,3091750.61798009,-1116.16762234005,-3940.35944200484,-5907.11433528582,
86020,-6503206.31375691,-2839513.15450444,3032545.91722822,-1059.79299427038,-3915.89398951384,-5933.74012644603,
86030,-6513521.97957586,-2878548.34810345,2973077.53312179,-1003.32502171207,-3891.08818239018,-5959.85061791829,
86040,-6523272.51943716,-2917333.79078539,2913350.63023095,-946.768623248847,-3865.94416621916,-5985.44350256945,
86050,-6532457.0737114,-2955866.11131368,2853370.39597111,-890.128726231689,-3840.46411680384,-6010.51651852439,
86060,-6541074.8320846,-2994141.96036015,2793142.04014908,-833.410266318861,-3814.65023999016,-6035.06744941982,
