TIME,EST X1,EST X2,EST X3,EST X4,EST X5,EST X6,STD X1,,,,,,,STD X2,,,,,,,STD X3,,,,,,,STD X4,,,,,,,STD X5,,,,,,,STD X6,
0,7024992.6566678,-1268.50309380807,-226.87151537385,0.308497692548364,649.747293828663,7542.12093992993,148099999.996094,0,0,-3.49245955219784e-10,-92370.0000009537,-53330.0000038147,0,28850000,9994000,-31210,0,0,0,9994000,5770000,-12420,0,0,-3.49245955219784e-10,-31210,-12420,36.87,-8.526512578608e-14,-3.4106050314432e-13,-92370.0000009537,0,0,-8.526512578608e-14,67.9799999997672,31.4499999990687,-53330.0000038147,0,0,-3.4106050314432e-13,31.4499999990687,31.6599999962747,
10,7024591.35653456,5228.92011060534,75192.8975379624,-80.5677246917798,649.724883253642,7541.6877650552,148137840.25,-1235872.94572449,-657453.715759277,3783.76178836823,-92370.33340168,-53304.1641616821,-1235872.94572449,28853480.4624996,9995992.22893934,-31230.9709202131,347.625402863254,198.933584611863,-657453.715759277,9995992.22893928,5772503.18347526,-12431.8434982575,199.367093557492,249.839353501797,3783.76178836823,-31230.9709202131,-12431.8434982575,36.9521347701828,-1.77024530878043,-1.08548919309396,-92370.3334007263,347.625402863254,199.367093564942,-1.77024530877316,67.9743457197135,31.4300662516616,-53304.1641616821,198.933584611863,249.839353501797,-1.08548919309396,31.4300662516616,31.6374383179307,
20,7023381.33429455,11725.74530569,150603.981820812,-161.434310944726,649.627693321628,7540.38400445231,148251369.214844,-2472160.3053894,-1314625.23046875,7569.13543492556,-92369.4006609917,-53226.3371086121,-2472160.3053894,28863911.2319394,10001960.1718986,-31293.471529582,694.982713478617,396.59667237103,-1314625.23034668,10001960.1718986,5779995.26161957,-12467.1961075757,398.252257212996,498.731455683708,7569.13543492556,-31293.471529582,-12467.1961075757,37.197394648503,-3.53887444333668,-2.16618141188519,-92369.4006619453,694.982713477686,398.252257212996,-3.53887444333668,67.9547913621016,31.369424500037,-53226.3371086121,396.59667237103,498.731455683708,-2.16618141211802,31.369424500037,31.5694384073675,
30,7021362.73468745,18221.2247543994,225997.676221824,-242.281585758008,649.45573691303,7538.20982604015,148440634.996094,-3709264.28805542,-1971228.66027832,11357.7095891237,-92367.1657156944,-53096.3926849365,-3709264.28807068,28881284.0684114,10011877.4924779,-31397.4417588301,1041.78417623229,591.716529548168,-1971228.66027832,10011877.4924788,5792447.82185745,-12525.9447546564,596.166283503175,745.730317115784,11357.7095891237,-31397.4417588301,-12525.944754649,37.6055296612529,-5.3042232729058,-3.2372774805408,-92367.1657156944,1041.78417623229,596.166283503175,-5.3042232729058,67.9213523397873,31.2681489819661,-53096.3926849365,591.716529577971,745.730317354202,-3.23727748077363,31.2681489819661,31.4562553448439,
40,7018535.79919264,24714.6108957385,301365.277870743,-323.099876742478,649.209036355302,7535.16551011005,148705717.425781,-4947585.81602478,-2626974.93286133,15151.0667209625,-92363.5680136681,-52914.1209716797,-4947585.81602478,28905584.9806483,10025700.2527199,-31542.7809504261,1387.7424463369,783.022735387087,-2626974.93286133,10025700.2527199,5809813.58778381,-12607.9010186493,792.621552467346,989.896047115326,15151.0667209625,-31542.7809504261,-12607.9010186791,38.1761221209988,-7.06463051092578,-4.29398838989437,-92363.5680136681,1387.7424463369,792.621552437544,-7.06463051092578,67.8740547743462,31.1263643093407,-52914.1209793091,783.022735387087,989.896047115326,-4.29398839036003,31.1263643093407,31.2983143759727,
50,7014900.86599262,31205.1564391608,376698.087261811,-403.879515913986,648.887623408179,7531.25144925614,149046727.988281,-6187523.87463379,-3281570.19750977,18950.7800240517,-92358.5225625038,-52679.2285270691,-6187523.87463379,28936794.2363689,10043366.961998,-31729.347940499,1732.57080261409,969.248355329037,-3281570.19750977,10043366.961998,5832026.57157898,-12712.8013769686,987.132834166288,1230.29789757729,18950.7800240517,-31729.347940499,-12712.8013769686,38.9085869919752,-8.81843915503123,-5.33154041180387,-92358.5225625038,1732.57080261409,987.132834166288,-8.81843915503123,67.8129354723449,30.9442453668453,-52679.2285270691,969.248355358839,1230.29789853096,-5.33154041133821,30.9442453668453,31.0962105488241,
60,7010458.36992155,37692.1144588156,451987.409376319,-484.610841171506,648.491539248586,7526.46814827429,149463809.40625,-7429474.86367798,-3934714.24511719,22758.4103322029,-92351.9200181961,-52391.3387069702,-7429474.86367798,28974886.376874,10064798.6456261,-31956.9611741453,2075.98335973173,1149.13111165166,-3934714.24511719,10064798.6456261,5859002.2869873,-12840.3075494766,1179.21808850765,1466.01730489731,22758.4103322029,-31956.9611741528,-12840.3075494766,39.8021724016824,-10.5639979192056,-6.34518019296229,-92351.9200181961,2075.98335973173,1179.21808844805,-10.5639979191474,67.7380418935161,30.7220171676017,-52391.3387069702,1149.13111165166,1466.01730442047,-6.34518019296229,30.7220171676017,30.8507082631648,
70,7005208.84239904,44174.7384876444,527224.554803991,-565.284197764826,648.020834455542,7520.8162240314,149957135.460938,-8673831.95141602,-4586098.9296875,26575.5030288696,-92343.6267843246,-52049.9921188354,-8673831.95141602,29019830.2358804,10089898.9331856,-32225.3988538645,2417.69527978823,1321.4145488739,-4586098.93017578,10089898.9331818,5890638.02410889,-12990.0069412291,1368.39926320314,1696.15091562271,26575.5030288696,-32225.3988538608,-12990.0069412291,40.8559602980775,-12.2996626579843,-7.33017983636819,-92343.6267843246,2417.69527979195,1368.39926320314,-12.2996626579843,67.6494321137968,30.4599546571262,-52049.9921188354,1321.4145488739,1696.15091562271,-7.33017983636819,30.4599546571262,30.5627405961812,
80,6999152.91134941,50652.2826113276,602400.840862928,-645.889939749671,647.475568995357,7514.29640530745,150526910.769531,-9920984.43075562,-5235406.60449219,30403.5849664211,-92333.4851346016,-51654.6469573975,-9920984.43069458,29071588.96258,10118554.1663437,-32534.3991206083,2757.42298327759,1484.84919542074,-5235406.60449219,10118554.1663437,5926813.18267822,-13161.4131827652,1554.20308709145,1919.81360435486,30403.5849664211,-32534.3991206083,-13161.4131827652,42.0688672478816,-14.0237977811194,-8.28184195747599,-92333.4851346016,2757.42298327759,1554.20308709145,-14.0237977810611,67.5471747831278,30.1583825014532,-51654.6469573975,1484.84919542074,1919.81360435486,-8.28184195747599,30.1583825014532,30.2334086356521,
90,6992291.30110636,57124.0015620854,677507.592717845,-726.418431428645,646.855812207399,7506.90953261291,151173370.179688,-11171317.0793457,-5882308.56640625,34244.1613988876,-92321.3133764267,-51204.6797943115,-11171317.0793457,29130120.0489101,10150633.5262909,-32883.6602671668,3094.88435924053,1638.19371753931,-5882308.56640625,10150633.5262909,5967389.66717529,-13353.9667669535,1736.16186007857,2136.14146614075,34244.1613988876,-32883.6602671668,-13353.9667670727,43.4396453740144,-15.7347776559764,-9.1955046961084,-92321.3133764267,3094.88435924053,1736.16186007857,-15.7347776559764,67.4313490771263,29.8176748072729,-51204.6797943115,1638.19371759892,2136.14146614075,-9.1955046961084,29.8176748082042,29.8639804256916,
