TIME,EST X1,EST X2,EST X3,EST X4,EST X5,EST X6,STD X1,,,,,,,STD X2,,,,,,,STD X3,,,,,,,STD X4,,,,,,,STD X5,,,,,,,STD X6,
0,7008240.39105518,-1203.90586852084,-2089.08674288094,3.46098712846247,657.484079461396,7552.32477222098,148099999.964844,0,8.58306859548141e-06,0,-92370,-53330.0000114441,0,28850000,9994000,-31210,0,0,8.58306859548141e-06,9994000,5770000,-12420,0,2.79396764175827e-09,0,-31210,-12420,36.87,0,0,-92370,0,0,0,67.98,31.45,-53330.0000114441,0,2.79396764175827e-09,0,31.45,31.6599999962747,
10,7007868.67776977,5370.87959846472,73432.816538792,-77.8028285359311,657.460311108066,7551.90953536864,148138086.1875,-1235873.5046196,-657460.150939941,3808.36609727144,-92370.2562603951,-53305.2505569458,-1235873.5046196,28853456.5676773,9995983.97251102,-31231.1923319455,345.235824718024,198.109508428723,-657460.150939941,9995983.97251102,5772498.42686176,-12431.9731474617,198.542908173054,249.365424752235,3808.36609727144,-31231.1923319455,-12431.9731474617,36.9534767903774,-1.78299718258313,-1.09333338373108,-92370.2562594414,345.235824718024,198.542908173054,-1.78299718258313,67.9742327102383,31.4306971714832,-53305.2505569458,198.109508421272,249.365424633026,-1.09333338373108,31.4306971714832,31.6381965262651,
20,7006684.36714245,11945.0463092978,148946.177151221,-159.056846857661,657.360329776951,7550.61625835688,148252353.609375,-2472163.84025574,-1314648.13208008,7618.38569319248,-92369.169336319,-53227.926651001,-2472163.84025574,28863815.635955,10001927.2371095,-31294.1862014091,690.201628852636,394.954022787511,-1314648.13208008,10001927.2371095,5779976.34204388,-12467.6127412198,396.607517398894,497.789234817028,7618.38569319248,-31294.1862014086,-12467.6127412198,37.2023329290294,-3.5643591002372,-2.18185951741179,-92369.169336319,690.201628853567,396.607517398894,-3.5643591002372,67.9544359218515,31.3702573482879,-53227.9266433716,394.954022802413,497.789234817028,-2.18185951741179,31.3702573492192,31.5704858099878,
30,7004687.60617501,18517.8321968223,224442.215483415,-240.291262565391,657.184149615914,7548.44511841108,148442851.363281,-3709275.16020203,-1971273.79394531,11431.6680884361,-92366.7027897835,-53097.9011993408,-3709275.16020203,28881068.8993479,10011803.4587121,-31398.9209673433,1034.60695740953,589.247990608215,-1971273.79394531,10011803.4587121,5792405.35066223,-12526.8050528765,593.699442833662,744.315938234329,11431.6680884361,-31398.9209673423,-12526.805052869,37.616315650989,-5.34239358152263,-3.26069715782069,-92366.7027897835,1034.60695740953,593.699442833662,-5.34239358149352,67.9206255351262,31.2687560012564,-53097.9011993408,589.247990608215,744.315938234329,-3.26069715805352,31.2687560012564,31.4571246562362,
40,7001878.63990728,25088.4753840394,299912.154269693,-321.496273586422,656.931794505874,7545.39640735819,148709660.742188,-4947610.31622314,-2627043.77050781,15249.8163335323,-92362.795273304,-52914.9619598389,-4947610.31622314,28905202.2471386,10025568.521029,-31545.2947741761,1378.1617783783,779.708214640617,-2627043.77050781,10025568.521029,5809738.00437546,-12609.3597601913,789.325914390385,987.996204137802,15249.8163335323,-31545.2947741761,-12609.3597601913,38.1950008297634,-7.1154113821176,-4.32497542235069,-92362.7952723503,1378.1617783783,789.325914420187,-7.1154113821176,67.8728283995104,31.1263200375251,-52914.9619598389,779.70821467042,987.996204137802,-4.32497542281635,31.1263200375251,31.2985436377883,
50,6998257.81137741,31656.2142813575,375347.219735342,-402.662082576936,656.603298044594,7541.47053154841,149052895.046875,-6187570.19802856,-3281659.86279297,19074.4240689278,-92357.3605794907,-52678.8117752075,-6187570.19796753,28936195.7740108,10043160.5763521,-31733.1646361602,1720.57670021616,965.055050075054,-3281659.86279297,10043160.5763502,5831907.95582581,-12715.0101979226,982.996596634388,1227.88997602463,19074.4240689278,-31733.1646361602,-12715.0101979226,38.9377933553867,-8.8817276628979,-5.36983903637156,-92357.3605794907,1720.57670021616,982.996596634388,-8.8817276628979,67.8110822890256,30.9431277047843,-52678.8117675781,965.055050045252,1227.88997602463,-5.36983903637156,30.9431277047843,31.095346732235,
60,6993825.561567,38220.2876836778,450738.642741315,-483.77889844377,656.198703530144,7536.66801174393,149472699.304688,-7429553.0741272,-3934817.4296875,22907.0723724365,-92350.2877378464,-52389.068901062,-7429553.0741272,28974023.795032,10064500.1154976,-31962.3465560181,2061.56318874378,1144.0135986954,-3934817.4296875,10064500.1154938,5858830.17514038,-12843.4137096703,1174.22440540791,1463.06956958771,22907.0723724365,-31962.3465560181,-12843.4137097001,39.8439276640227,-10.6396634591656,-6.39045356423594,-92350.2877378464,2061.56318874378,1174.22440540791,-10.6396634591656,67.7354358672553,30.719408420613,-52389.068901062,1144.0135986954,1463.06956958771,-6.39045356423594,30.719408420613,30.8483106886804,
70,6988582.42933107,44779.9348673149,526077.659927666,-564.836937854848,655.718063944364,7530.9894829766,149969249.980469,-8673953.93569946,-4586203.78686523,26749.3266105652,-92341.4411051273,-52045.2674751282,-8673953.93569946,29018654.8649619,10089490.0577869,-32232.6156775281,2400.83378344961,1315.31489810348,-4586203.78686523,10089490.0577869,5890401.22825623,-12994.152100563,1362.52632312477,1692.62276387215,26749.326611042,-32232.6156775281,-12994.152100563,40.9124684168444,-12.3875471432111,-7.38201061636209,-92341.4411051273,2400.83378344961,1362.52632312477,-12.3875471432111,67.6459486515185,30.4554425959941,-52045.2674751282,1315.31489816308,1692.62276482582,-7.38201061636209,30.4554425959941,30.558384509927,
80,6982529.05131286,51334.3956867527,601355.514855415,-645.826426735941,655.16144193666,7524.43569437703,150542754.699219,-9921163.84246826,-5235496.61743164,30602.7332911491,-92330.6605055332,-51646.8579559326,-9921163.8425293,29070051.8018827,10118015.8610878,-32543.7064716481,2738.10231299326,1477.69710624218,-5235496.61694336,10118015.8610878,5926499.6169281,-13166.7321895659,1547.42420838773,1915.65588140488,30602.7332911491,-32543.7064716481,-13166.7321895659,42.1423113259323,-14.1237158733129,-8.33973302878439,-92330.6605055332,2738.10231299326,1547.42420838773,-14.1237158733129,67.5426909656187,30.1515613854863,-51646.8579559326,1477.69710624218,1915.65588140488,-8.33973302878439,30.1515613854863,30.2266885472298,
90,6975666.16184391,57882.9106712419,676563.459146575,-726.737601752063,654.528909808435,7517.00750897797,151193451.820312,-11171569.2727051,-5882362.38574219,34468.8169317245,-92317.7613859177,-51193.2077560425,-11171569.2727051,29128171.7151332,10149945.6516647,-32895.3129556999,3073.08410997689,1629.90667891502,-5882362.38574219,10149945.6516647,5966986.17993164,-13360.5864619017,1728.44560301304,2131.29683208466,34468.8169317245,-32895.3129556999,-13360.5864619017,43.5321841218345,-15.8465170330019,-9.25888001453131,-92317.7613859177,3073.08410997689,1728.44560295343,-15.8465170329437,67.4257438905722,29.808146414347,-51193.2077636719,1629.90667885542,2131.29683208466,-9.25888001546264,29.808146414347,29.854513561523,
