TIME,EST X1,EST X2,EST X3,EST X4,EST X5,EST X6,STD X1,,,,,,,STD X2,,,,,,,STD X3,,,,,,,STD X4,,,,,,,STD X5,,,,,,,STD X6,
0,7006826.34687367,4546.0959677062,-197.149912876374,-2.90862142719414,654.713386046026,7550.83538240557,148099999.984375,-7.62939430709458e-06,2.38418572096706e-07,3.72529018901103e-09,-92370.0000019073,-53330.0000152588,-7.62939430709458e-06,28850000,9994000,-31210,-9.31322547252757e-10,-7.45058037802205e-09,2.38418572096706e-07,9994000,5770000,-12420,2.91038296016486e-11,2.32830636813189e-10,3.72529018901103e-09,-31210,-12420,36.87,4.5474733752576e-13,3.63797870020608e-12,-92370.0000019073,-9.31322547252757e-10,2.91038296016486e-11,4.5474733752576e-13,67.9799999997672,31.4499999981374,-53330.0000152588,-7.45058037802205e-09,2.32830636813189e-10,3.63797870020608e-12,31.4499999981374,31.6599999850988,
10,7006390.7724732,11092.8414292635,75309.7488895306,-84.2055403035429,654.623049705503,7550.39796726926,148138106.925781,-1235847.81893921,-657451.432922363,3810.4282502234,-92366.0315163136,-53303.8364143372,-1235847.81893921,28853454.2493343,9995983.15471852,-31230.2874146007,344.989214831032,198.025664061308,-657451.432861328,9995983.15471852,5772497.9756813,-12431.6406925279,198.451698761433,249.318089067936,3810.4282502234,-31230.2874146006,-12431.6406925279,36.9515603960222,-1.78397914189372,-1.09396708055283,-92366.0315163136,344.989214831963,198.451698768884,-1.78397914189372,67.9689625988056,31.4282934970688,-53303.8364143372,198.025664061308,249.318089067936,-1.09396708043641,31.4282934980001,31.6371766945183,
20,7005142.26676546,17638.303852009,150807.881334208,-165.493249848579,654.45678074508,7549.08212644842,148252435.882812,-2472061.387146,-1314613.13464355,7622.47011637688,-92360.7358264923,-53225.0641784668,-2472061.387146,28863805.1819425,10001923.5048959,-31292.402414842,689.6199694518,394.759295552969,-1314613.1348877,10001923.5048959,5779974.35797787,-12466.9624765869,396.382801517844,497.680968821049,7622.47011637688,-31292.402414842,-12466.9624765869,37.1987030498993,-3.56612601340748,-2.18306570767891,-92360.7358264923,689.619969455525,396.382801517844,-3.56612601339293,67.9439200192526,31.3654386103153,-53225.0641784668,394.759295552969,497.680968821049,-2.18306570744608,31.3654386103153,31.5684214552701,
30,7003080.97083238,24181.7239996883,226288.463822253,-246.761952627333,654.214598763345,7546.88801055869,148443035.253906,-3709045.24983215,-1971194.74523926,11437.7389259338,-92354.0738558769,-53093.5539321899,-3709045.24983215,28881042.7281826,10011794.0188422,-31396.2813332863,1033.60228444822,588.914669662714,-1971194.74523926,10011794.0188422,5792400.47447586,-12525.850555338,593.298972442746,744.132589578629,11437.7389259338,-31396.2813332872,-12525.850555338,37.6111729747816,-5.34474909843993,-3.2624093380291,-92354.0738549232,1033.60228444822,593.298972442746,-5.34474909838173,67.9048919175937,31.2615159312263,-53093.5539321899,588.914669632912,744.13258934021,-3.26240933756344,31.2615159312263,31.4539938701153,
40,7000207.12371914,30722.342880297,301742.71483167,-328.001853669681,653.896533009168,7543.81588435868,148709985.683594,-4947202.59405518,-2626902.6496582,15257.8416621685,-92345.9816122055,-52909.0910301208,-4947202.59405518,28905151.0234107,10025549.878231,-31541.8193116076,1376.64667518064,779.207994610071,-2626902.6496582,10025549.878231,5809728.58856201,-12608.1134740263,788.707572788,987.723101854324,15257.8416621685,-31541.8193116058,-12608.1134740263,38.1885438951529,-7.1181599193078,-4.32712171855383,-92345.9816122055,1376.64667518064,788.707572788,-7.1181599192787,67.8519088611891,31.1166574480012,-52909.0910301208,779.207994610071,987.723101854324,-4.32712171855383,31.1166574480012,31.2943274101079,
50,6996521.062402,37259.4018425055,377161.856058531,-409.203161985668,653.502622365841,7539.86612669027,149053399.785156,-6186934.58877563,-3281438.3684082,19084.3758091927,-92336.3702466488,-52671.3757896423,-6186934.58877563,28936108.4200423,10043128.5294704,-31728.8703859989,1718.46436832473,964.359106421471,-3281438.3684082,10043128.5294704,5831892.05461121,-12713.4833693802,982.118479982018,1227.51196837425,19084.3758091927,-31728.8703859989,-12713.4833693802,38.9302186127705,-8.88467450989992,-5.37234211806208,-92336.3702466488,1718.46436832473,982.118480041623,-8.88467450984172,67.7850123010965,30.9310464395676,-52671.3757896423,964.359106421471,1227.51196837425,-5.37234211852774,30.9310464395676,31.0900290256202,
60,6992023.22174095,43792.1426719215,452537.113557371,-490.35609207279,653.032915334961,7535.0392303864,149473422.125,-7428639.72528076,-3934496.9375,22918.9261879921,-92325.1261329651,-52380.0236587524,-7428639.72528076,28973887.5039412,10064449.7552128,-31957.2476067962,2058.76751787309,1143.09266152978,-3934496.93847656,10064449.755209,5858805.53518677,-12841.6163198948,1173.04490408301,1462.57107067108,22918.9261879921,-31957.2476067962,-12841.6163198948,39.8354295240813,-10.6426148812025,-6.39323055930436,-92325.1261320114,2058.76751787309,1173.04490408301,-10.6426148812025,67.7042545370448,30.7049173158593,-52380.0236663818,1143.09266152978,1462.57107067108,-6.39323055930436,30.7049173167907,30.8418787328362,
70,6986714.13441731,50319.8076871936,527859.718880508,-571.450865412398,652.48747002039,7529.33580214806,149970228.71875,-8672713.16186523,-4585765.3125,26763.0618104935,-92312.1109828949,-52034.565826416,-8672713.16186523,29018455.1151173,10089415.7658539,-32226.7231918201,2397.26942032203,1314.13932356238,-4585765.31201172,10089415.7658539,5890365.28051758,-12992.0927968621,1361.00420087576,1691.9877986908,26763.0618104935,-32226.7231918201,-12992.0927969217,40.9032392855686,-12.3903104778728,-7.38497301237658,-92312.1109838486,2397.26942032576,1361.00420087576,-12.3903104778728,67.609698676092,30.4385554254986,-52034.565826416,1314.13932356238,1691.98779821396,-7.38497301237658,30.4385554254986,30.5508290028036,
80,6980594.43085646,56841.6398359548,603120.910215993,-652.477711952861,651.86635411263,7522.75656239319,150544026.820312,-9919546.06945801,-5234920.765625,30618.3327331543,-92297.1619729996,-51634.4495925903,-9919546.06939697,29069772.3727274,10117911.3110771,-32537.0287131816,2733.68472929299,1476.23694604635,-5234920.765625,10117911.3110809,5926449.46923828,-13164.4182148576,1545.51868253946,1914.86813116074,30618.3327331543,-32537.0287131816,-13164.4182148576,42.132541624708,-14.1260996249621,-8.34278656961396,-92297.1619729996,2733.68472929299,1545.51868253946,-14.1260996249621,67.5014185877469,30.1322968262248,-51634.4495849609,1476.23694616556,1914.86813116074,-8.34278656961396,30.1322968262248,30.2180038785398,
90,6973664.83913589,63356.8827906141,678311.933523917,-733.42687157784,651.16964487392,7515.30234508031,151195054.460938,-11169524.9824829,-5881629.30566406,34486.2669172287,-92280.0919055939,-51179.0390319824,-11169524.9824829,29127794.7043476,10149803.8111954,-32887.855316937,3067.72966918349,1628.13174766302,-5881629.30566406,10149803.8112106,5966918.61157227,-13358.0235829949,1726.11642342806,2130.33969926834,34486.2669181824,-32887.8553169519,-13358.0235829949,43.5220622935983,-15.8483309621224,-9.26192459324375,-92280.0919055939,3067.72966918349,1726.11642342806,-15.8483309622388,67.3794988517718,29.7865280020051,-51179.0390396118,1628.13174760342,2130.33969736099,-9.26192459324375,29.7865280029364,29.8446980511606,
