TIME,EST X1,EST X2,EST X3,EST X4,EST X5,EST X6,STD X1,,,,,,,STD X2,,,,,,,STD X3,,,,,,,STD X4,,,,,,,STD X5,,,,,,,STD X6,
0,7002332.70434822,-3176.96961699894,-1391.19449017624,3.24755792305515,663.884081719116,7553.39846073609,148099999.984375,7.62939430709458e-06,1.90734857677365e-06,-7.45058037802205e-09,-92370,-53330.0000076294,7.62939430709458e-06,28850000,9994000,-31210,0,3.72529018901103e-09,1.90734857677365e-06,9994000,5770000,-12420,0,9.31322547252757e-10,-7.45058037802205e-09,-31210,-12420,36.87,0,-3.63797870020608e-12,-92370,0,0,0,67.98,31.45,-53330.0000076294,3.72529018901103e-09,9.31322547252757e-10,-3.63797870020608e-12,31.45,31.6599999962747,
10,7001958.17027676,3461.92918057003,74141.4013767872,-78.1535294352297,663.882818562808,7552.973971664,148138173.507812,-1235882.11663818,-657457.756591797,3817.09542572498,-92371.6889724731,-53304.6435089111,-1235882.11663437,28853448.1850976,9995981.03255554,-31231.4884391469,344.402307211189,197.811687137932,-657457.756591797,9995981.03255551,5772496.69932055,-12432.0788517341,198.252824191004,249.191336810589,3817.09542584419,-31231.4884391468,-12432.0788517341,36.9544035894601,-1.78755204240224,-1.09608890878735,-92371.6889724731,344.402307211189,198.252824191004,-1.78755204240224,67.9760136778303,31.4308276018128,-53304.6435012817,197.811687134206,249.191336810589,-1.09608890890377,31.4308276018128,31.6377512870193,
20,7000769.66700898,10100.4295777671,149665.35029129,-159.54464200834,663.804402788232,7551.66909087689,148252702.875,-2472198.54693604,-1314637.65356445,7635.85438799858,-92371.9807505608,-53226.5231704712,-2472198.54693604,28863782.4789293,10001915.4702201,-31294.8714992984,688.562144135125,394.349883750081,-1314637.65356445,10001915.4702203,5779969.31498337,-12467.8779263347,396.033209510148,497.431530594826,7635.85438799858,-31294.8714992984,-12467.877926331,37.204980370391,-3.57351931412268,-2.18731143546756,-92371.9807505608,688.562144136056,396.033209510148,-3.57351931412268,67.9579167503787,31.3703661656473,-53226.52318573,394.349883750081,497.431530594826,-2.18731143546756,31.3703661656473,31.569444740361,
30,6998767.34346906,16737.7600991412,225171.849146593,-240.915944949668,663.648846183872,7549.48399959773,148443637.550781,-3709353.8398056,-1971248.17529297,11457.894562006,-92370.839319706,-53095.5108909607,-3709353.8398056,28880995.1090488,10011776.9199529,-31400.0890304092,1032.18725508731,588.324803031981,-1971248.17529297,10011776.9199529,5792389.23129272,-12527.2823674008,592.844681948423,743.76207613945,11457.894562006,-31400.0890304097,-12527.2823674008,37.6214751067407,-5.35619837185368,-3.26875905436464,-92370.839319706,1032.18725508731,592.844681948423,-5.35619837182458,67.9257239148672,31.2686902028508,-53095.5108909607,588.324803031981,743.76207613945,-3.26875905436464,31.2686902028508,31.4553405141294,
40,6995951.44691451,23373.1494363648,300652.097222321,-322.257606690451,663.416170383283,7546.41899386609,148711059.273438,-4947751.24975586,-2626994.56298828,15284.8273258209,-92368.2035646439,-52911.3929214478,-4947751.24975586,28905072.4615334,10025521.1441531,-31547.0394538287,1374.98578480072,778.449001535773,-2626994.56274414,10025521.1441522,5809708.71957016,-12610.1003222093,788.192371919751,987.230697035789,15284.8273258209,-31547.0394538278,-12610.1003222242,38.2034601328876,-7.13388867420144,-4.33553372346796,-92368.2035646439,1374.98578479886,788.192371919751,-7.13388867420144,67.8794609436834,31.1259260685183,-52911.3929214478,778.449001565576,987.230697512627,-4.33553372393362,31.1259260685183,31.2958736216485,
50,6992322.32289581,30005.8265466037,376097.297332255,-403.559800469411,663.106406848904,7542.4744844575,149055081.9375,-6187792.0723877,-3281577.19140625,19118.2545790672,-92363.9873228073,-52673.8700790405,-6187792.0723877,28935995.0911912,10043086.1102867,-31735.5798463821,1716.66649822146,963.438583701849,-3281577.19140625,10043086.1102867,5831861.09390259,-12716.0631951988,981.58384051919,1226.89447689056,19118.2545790672,-31735.5798463803,-12716.063195169,38.950335736178,-8.90489407110726,-5.38275316637009,-92363.987323761,1716.66649821773,981.583840459585,-8.90489407110726,67.8191646585426,30.9422518513165,-52673.8700866699,963.438583731651,1226.89447641373,-5.38275316637009,30.9422518513165,31.0916534831583,
60,6987880.41520064,36635.0207507242,451498.656971152,-484.812705853662,662.719596855529,7537.65099676971,149475851.347656,-7429874.98110962,-3934689.94873047,22959.7655684948,-92358.0794656277,-52382.5581321716,-7429874.98110962,28973737.73616,10064392.060812,-31965.5260589626,2056.93899980746,1142.014403373,-3934689.94873047,10064392.060812,5858760.92974854,-12844.8260031343,1172.52990350127,1461.82297801971,22959.7655684948,-31965.5260589626,-12844.8260031343,39.8613306922005,-10.6675242856873,-6.40555613138713,-92358.0794665813,2056.93899980746,1172.52990356088,-10.667524285629,67.7448828987933,30.7178972216789,-52382.5581321716,1142.0144033134,1461.82297754288,-6.40555613138713,30.7178972216789,30.8434635048568,
70,6982626.26578307,43259.961831333,526847.389460267,-566.006510247933,662.255791473818,7531.94917067783,149973544.9375,-8674395.36672974,-4586018.62744141,26810.9337215424,-92350.3440060616,-52036.9881439209,-8674395.3666687,29018269.336884,10089341.6033249,-32236.6528692702,2395.51395213883,1312.90326040983,-4586018.62744141,10089341.6033249,5890304.34454346,-12995.967831552,1360.54545265436,1691.10135221481,26810.9337215424,-32236.6528692702,-12995.967831552,40.9355029500828,-12.4200963867042,-7.39910763967782,-92350.3440060616,2395.51395213883,1360.54545265436,-12.4200963867042,67.6566744823747,30.4531432343647,-52036.9881439209,1312.90326035023,1691.10135221481,-7.39910763967782,30.4531432343647,30.5522604046226,
80,6976560.51467771,49879.8801306555,602134.715091279,-647.131410389765,661.715051554163,7525.36976036091,150548371.453125,-9921744.67956543,-5235239.32324219,30673.3134746552,-92340.620223999,-51636.6070556641,-9921744.67950439,29069553.0594573,10117819.8208046,-32548.6941682994,2732.10329385102,1474.83909213543,-5235239.32324219,10117819.8208084,5926369.34031677,-13168.9923919737,1545.15027324855,1913.83343267441,30673.3134746552,-32548.6941683069,-13168.9923919737,42.1717404655599,-14.1609362509625,-8.35860419366509,-92340.6202249527,2732.10329385102,1545.15027324855,-14.1609362509625,67.5546091621898,30.1483220928349,-51636.6070556641,1474.83909213543,1913.83343267441,-8.35860419273376,30.1483220928349,30.2191733402967,
90,6969683.89989896,56494.006648255,677351.86226836,-728.177613828955,661.097447711223,7517.91363410301,151200570.460938,-11172309.7751465,-5882016.84570312,34548.4371271133,-92328.7228317261,-51180.7782516479,-11172309.7752075,29127546.3233151,10149694.4019432,-32901.3431800678,3066.42045677453,1626.56415849924,-5882016.84667969,10149694.4019432,5966816.20799255,-13363.3286794424,1725.86985692382,2129.14480924606,34548.4371271133,-32901.3431800678,-13363.3286794424,43.5687621761415,-15.888380013057,-9.27927896007895,-92328.7228317261,3066.42045677453,1725.86985686421,-15.8883800129988,67.4387675760034,29.8038168782368,-51180.7782440186,1626.56415849924,2129.14480924606,-9.27927895914763,29.8038168773055,29.8455030007124,
