TIME,EST X1,EST X2,EST X3,EST X4,EST X5,EST X6,STD X1,,,,,,,STD X2,,,,,,,STD X3,,,,,,,STD X4,,,,,,,STD X5,,,,,,,STD X6,
0,7025185.60505568,1726.41136007399,1417.65219420731,-1.66756187555391,646.580497191972,7540.42111622447,148100000,0,0,0,-92370,-53330,0,28850000,9994000,-31210,-2.32830636813189e-10,-1.86264509450551e-09,0,9994000,5770000,-12420,-1.16415318406595e-10,-9.31322547252757e-10,0,-31210,-12420,36.87,2.2737366876288e-13,1.81898935010304e-12,-92370,-2.32830636813189e-10,-1.16415318406595e-10,2.2737366876288e-13,67.9799999999418,31.4499999995343,-53330,-1.86264509450551e-09,-9.31322547252757e-10,1.81898935010304e-12,31.4499999995343,31.6599999962747,
10,7024764.56702334,8191.99482802345,76820.3285507503,-82.5392041009634,646.523794730165,7539.96909432817,148137837.203125,-1235859.54216766,-657446.757385254,3783.44661390781,-92368.1623296738,-53302.9697799683,-1235859.54217529,28853480.5945712,9995992.25379485,-31230.4652100729,347.631510982756,198.933833181858,-657446.757385254,9995992.25379485,5772503.20128703,-12431.6492129606,199.364776680246,249.839269220829,3783.44661390781,-31230.4652100729,-12431.6492129606,36.9510047503525,-1.77003758844148,-1.08536725339945,-92368.1623296738,347.631510982756,199.364776687697,-1.77003758844876,67.9716383282019,31.4285404491238,-53302.9697875977,198.933833174407,249.839269220829,-1.08536725339945,31.4285404500552,31.6365790350199,
20,7023534.85388562,14656.6392385775,152214.133018406,-163.400972784632,646.392687750951,7538.64675745312,148251356.15625,-2472106.84257507,-1314597.51538086,7568.44075632095,-92365.080655098,-53223.9668197632,-2472106.84257507,28863911.1943409,10001959.9911175,-31292.4598190258,694.952642871067,396.57873852551,-1314597.51538086,10001959.9911175,5779995.18457317,-12466.8064425113,398.224234975874,498.720239698887,7568.44075655937,-31292.4598190254,-12466.8064425113,37.1951132865159,-3.53833843685425,-2.16587482759496,-92365.080655098,694.952642871067,398.224234975874,-3.5383384368688,67.949408193638,31.3663969296031,-53223.9668197632,396.57873852551,498.720239698887,-2.16587482759496,31.3663969296031,31.5677371864974,
30,7021496.61267981,21119.6006233189,227590.363204086,-244.243207916871,646.187193166709,7536.4542755895,148440603.726562,-3709144.31166077,-1971166.55761719,11356.5724585056,-92360.7177648544,-53092.8651199341,-3709144.31169128,28881282.7200174,10011876.4618759,-31395.9215032381,1041.67628233787,591.662453338504,-1971166.55761719,10011876.4618759,5792447.31958008,-12525.3574038967,596.089620053768,745.69725394249,11356.5724585056,-31395.9215032381,-12525.3574038967,37.6020690284775,-5.30324129712244,-3.23672604956664,-92360.7177648544,1041.67628233973,596.089620053768,-5.30324129712244,67.9133270982955,31.2636473560706,-53092.8651123047,591.662453398108,745.697254180908,-3.2367260500323,31.2636473570019,31.4537329358816,
40,7018650.08702985,27580.1352297599,302940.318974035,-325.056252424,645.907337248461,7533.39193060479,148705658.527344,-4947373.03955078,-2626864.96887207,15149.4254853725,-92355.0119907856,-52909.4548606873,-4947373.03955078,28905580.3542091,10025697.3243456,-31540.7474209275,1387.51576806791,782.915109962225,-2626864.96887207,10025697.3243465,5809812.11942673,-12607.1125179753,792.473819248378,989.830813765526,15149.4254848957,-31540.7474209275,-12607.1125179753,38.1714480342296,-7.06308790099865,-4.29313464812003,-92355.0119907856,1387.51576806791,792.473819248378,-7.06308790099865,67.8634232007705,31.120419893181,-52909.4548606873,782.91510990262,989.830813765526,-4.29313464858569,31.120419893181,31.2949948256671,
50,7014995.61710961,34037.4996148527,378255.303572283,-405.830453640135,645.553155610595,7529.46011617427,149046630.722656,-6187192.14704895,-3281399.04760742,18948.5742461681,-92347.877266407,-52673.4427490234,-6187192.14704895,28936783.5525827,10043360.6953936,-31726.7942969492,1732.18510236777,969.070404857397,-3281399.04760742,10043360.6953917,5832023.39424133,-12711.807160899,986.892162263393,1230.19062280655,18948.5742461681,-31726.7942969492,-12711.807160899,38.9026593745319,-8.81622439302737,-5.33032984472811,-92347.877266407,1732.18510236777,986.892162263393,-8.81622439308558,67.7997352904593,30.9368928475305,-52673.4427490234,969.070404857397,1230.19062280655,-5.33032984472811,30.9368928475305,31.0921210182667,
60,7010533.63959147,40490.9507383455,453526.624738244,-486.556164771229,645.12469319533,7524.65933768049,149463661.878906,-7428998.13807678,-3934468.72363281,22755.5807087421,-92339.2032036781,-52384.4522247314,-7428998.13807678,28974866.0592467,10064787.2203674,-31953.8785408353,2075.39916221611,1148.86676600575,-3934468.72363281,10064787.2203712,5858996.46542358,-12839.1020118296,1178.86321938038,1465.8586268425,22755.5807087421,-31953.8785408279,-12839.1020118594,39.7949456533923,-10.5610027561488,-6.34356143744662,-92339.2032036781,2075.39916221611,1178.86321938038,-10.5610027561488,67.7223127544228,30.7132945219055,-52384.4522247314,1148.86676600575,1465.8586268425,-6.34356143744662,30.7132945219055,30.8458789346576,
70,7005264.68758033,46939.7460559832,528745.595823167,-567.223746348723,644.622004257221,7518.99021208358,149956924.640625,-8673184.2545166,-4585765.97851562,26571.991317749,-92328.8552012444,-52042.02394104,-8673184.25445557,29019795.9263501,10089880.1626358,-32221.7763976939,2416.87390966341,1321.04851400852,-4585765.97851562,10089880.1626358,5890628.44108582,-12988.5834989846,1367.90959654748,1695.93203163147,26571.991317749,-32221.7763976939,-12988.5834990442,40.8473836720757,-12.2957822289027,-7.32810485363007,-92328.8552012444,2416.87390966341,1367.90959654748,-12.2957822289027,67.6312155394506,30.4499030145817,-52042.02394104,1321.04851406813,1695.93203115463,-7.32810485363007,30.449903015513,30.5572043863893,
80,6999189.39053313,53383.1436125546,603903.536905147,-647.823567670656,644.045152348022,7512.45346776466,150526622.429688,-9920139.83435059,-5234973.28857422,30399.3339204788,-92316.6745738983,-51645.6162109375,-9920139.83435059,29071535.5378807,10118525.5125446,-32530.2241316717,2756.32660150342,1484.36701986194,-5234973.28857422,10118525.5125484,5926798.55076599,-13159.7643419951,1553.55872683227,1919.52631831169,30399.3339204788,-32530.2241316643,-13159.7643419951,42.0588852343888,-14.018930712642,-8.27926619327627,-92316.6745738983,2756.32660150342,1553.55872689188,-14.0189307127002,67.5265141075168,30.1470460023265,-51645.6162109375,1484.36701986194,1919.52631735802,-8.27926619327627,30.1470460023265,30.227201046592,
90,6992308.47416407,59820.4021347913,678991.775902453,-728.346008228682,643.394210302162,7505.0499443451,151172988.933594,-11170249.6726379,-5881762.0625,34239.1147027016,-92302.4787135124,-51194.6056938171,-11170249.672699,29130041.6376469,10150592.1159897,-32878.9182414077,3093.4759981744,1637.58185496926,-5881762.06152344,10150592.1159897,5967368.54193115,-13352.0841926336,1735.34365838766,2135.77823352814,34239.1147027016,-32878.9182414077,-13352.0841926336,43.428198088305,-15.7288261668873,-9.19238721998408,-92302.4787135124,3093.4759981744,1735.34365838766,-15.7288261668873,67.4082893864786,29.8051004572771,-51194.6056938171,1637.58185496926,2135.77823352814,-9.19238721998408,29.8051004563458,29.8571392765105,
100,6984622.76033555,66250.7811241251,754001.649684931,-808.781459120135,642.669260223083,7496.78059248439,151896287.816406,-12423893.3861694,-6525791.10107422,38092.815135479,-92286.0612587929,-50688.2880058289,-12423893.3861084,29195265.3614492,10185931.8222046,-33267.5157071948,3428.04257186502,1779.46193605661,-6525791.10107422,10185931.8222122,6012183.13433838,-13564.9103694558,1912.80383628607,2343.84876298904,38092.815135479,-33267.5157071948,-13564.9103694558,44.9539070031558,-17.4238579933299,-10.0628503379412,-92286.0612578392,3428.04257186502,1912.80383634567,-17.4238579933299,67.2766327157686,29.4244923577644,-50688.2879981995,1779.46193605661,2343.84876298904,-10.0628503388725,29.4244923577644,29.4484552537858,
110,6976133.16693515,72673.5409493142,828924.505183305,-889.12032444495,641.870393470609,7487.64647365968,152696812.03125,-13681444.7841187,-7166705.07910156,41961.8889331818,-92267.1923046112,-50125.8785324097,-13681444.7841187,29267152.2733631,10224379.6506805,-33695.6342690662,3759.7487135455,1908.78665995598,-7166705.07910156,10224379.6506805,6061070.53430176,-13797.5386881828,2085.48588061333,2542.92608356476,41961.8889331818,-33695.6342690662,-13797.5386881828,46.6344349764938,-19.1024284068844,-10.8860835283995,-92267.1923046112,3759.7487135455,2085.48588061333,-19.102428406768,67.1316457875025,29.0056963479146,-50125.8785324097,1908.78665995598,2542.92608356476,-10.8860835274681,29.0056963497773,29.0027497468352,
120,6966840.70773866,79087.9429389488,903751.70049618,-969.353022687997,640.997710649493,7477.64875992986,153574883.355469,-14943271.2419128,-7804133.03173828,45847.7590322495,-92245.6186387539,-49506.5133132935,-14943271.2419128,29345642.4061964,10265753.9772682,-34162.8527358994,4088.31893919967,2024.34703272581,-7804133.03076172,10265753.9772682,6113843.00762939,-14049.194388032,2252.94435670972,2732.2284860611,45847.7590322495,-34162.8527358994,-14049.194388032,48.468044571632,-20.7629537932226,-11.6575652388856,-92245.6186387539,4088.31893919967,2252.94435670972,-20.762953793339,66.9734405805746,28.5492353648879,-49506.5133209229,2024.34703284502,2732.2284860611,-11.6575652379543,28.5492353648879,28.5217867476702,
130,6956746.49225942,85493.249473848,978474.605994626,-1049.46998808802,640.051321599167,7466.78873368669,154530851.632812,-16209733.0820923,-8437686.8671875,49751.8145971298,-92221.0639882088,-48829.2500457764,-16209733.0820923,29430670.3060396,10309856.7391891,-34668.7113246396,4413.48009489663,2124.94678875804,-8437686.86621094,10309856.7391891,6170297.51135254,-14319.0331491232,2414.74254065752,2911.00727844238,49751.8145971298,-34668.7113246545,-14319.0331491232,50.4528393791359,-22.4038660550141,-12.3728292537853,-92221.0639872551,4413.48009489663,2414.74254065752,-22.4038660550141,66.8021392923354,28.0556802360807,-48829.2500534058,2124.94678875804,2911.00727939606,-12.3728292537853,28.0556802360807,28.0074921345174,
140,6945851.72558392,91888.7240793605,1053084.60542422,-1129.46167199499,639.031345384708,7455.06778739541,155565094.171875,-17481182.9613037,-9066959.88964844,53675.4080324173,-92193.2292995453,-48093.0691680908,-17481182.9613037,29522165.0809059,10356473.6587677,-35212.7120296508,4734.96156074852,2209.40350019932,-9066959.88867188,10356473.6587677,6230216.38323975,-14606.1422052979,2570.45317643881,3078.54965591431,53675.4080314636,-35212.7120296508,-14606.1422055364,52.5867656035068,-24.0236139445915,-13.027469499968,-92193.2292995453,4734.96156074852,2570.45317667723,-24.0236139444751,66.6178742647124,27.5256492448971,-48093.0691680908,2209.40350031853,3078.54965591431,-13.027469499968,27.5256492448971,27.4619519991636,
150,6934157.70819399,98273.6315175806,1127573.09700444,-1209.31854421815,637.937910288903,7442.48742332628,156678014.960938,-18757965.2637939,-9691525.3671875,57619.8520412445,-92161.7930431366,-47296.8749923706,-18757965.2637939,29620050.4534292,10405374.485672,-35794.3190217912,5052.49545358494,2276.54967671633,-9691525.3671875,10405374.4856415,6293368.08764648,-14909.54154706,2719.65922635794,3234.1815366745,57619.8520421982,-35794.3190217912,-14909.54154706,54.8676137748942,-25.6206643857877,-13.6171448426321,-92161.7930431366,5052.49545357004,2719.65922647715,-25.6206643857877,66.4207879049161,26.959807670908,-47296.8749923706,2276.54967671633,3234.18153572083,-13.6171448426321,26.959807670908,26.8874110599816,
160,6921665.83577548,104647.237879489,1201931.49452534,-1289.03109436744,636.771153805245,7429.04925327844,157870043.761719,-20040415.5014038,-10310935.1040039,61586.4167222977,-92126.4115459919,-46439.4970436096,-20040415.5014038,29724244.8176432,10456313.2577591,-36412.9590773433,5365.81682842597,2325.2338566184,-10310935.105957,10456313.2577591,6359508.01702881,-15228.1852172613,2861.95461192727,3377.27036905289,61586.4167203903,-36412.9590773731,-15228.1852172613,57.293020578504,-27.193503782677,-14.1375838024542,-92126.4115450382,5365.81682842597,2861.95461192727,-27.1935037825606,66.211032601869,26.3588672939222,-46439.4970436096,2325.23385673761,3377.27036905289,-14.1375838024542,26.3588672939222,26.2862707992852,
170,6908377.59901355,111008.81067703,1276151.22844145,-1368.58983319111,635.531222631599,7414.75499829631,159141635.292969,-21328859.7230225,-10924718.0488281,65576.3266820908,-92086.719335556,-45519.6914138794,-21328859.7230225,29834661.2997112,10509028.5798645,-37068.0220364034,5674.66387829185,2354.32168579102,-10924718.0488281,10509028.579895,6428379.35180664,-15560.9626948833,2996.94494640827,3507.22789764404,65576.3266801834,-37068.0220364034,-15560.9626948833,59.8604708143346,-28.7406393190613,-14.5845892578363,-92086.719335556,5674.66387829185,2996.94494640827,-28.7406393190613,65.9887706360849,25.723585867323,-45519.69140625,2354.32168579102,3507.22789764404,-14.584589259699,25.7235858663917,25.6610875708818,
180,6894294.58337463,117357.618935121,1350223.74696274,-1447.98529391255,634.218272664213,7399.60648837838,160493268.316406,-22623613.9307861,-11532378.9267578,69590.7582006454,-92042.3295199871,-44536.1422538757,-22623613.9307861,29951207.8227158,10563243.9211121,-37758.8612911999,5978.77813266963,2362.6969845295,-11532378.9267578,10563243.9211121,6499713.97314453,-15906.7003731728,3124.24825853109,3623.51288700104,69590.7582006454,-37758.8612911999,-15906.7003731728,62.5672994788572,-30.2606002474786,-14.9540430987254,-92042.3295209408,5978.77813266963,3124.24825853109,-30.2606002474786,65.7541740858967,25.0547665657941,-44536.1422538757,2362.6969846487,3623.51288700104,-14.9540430950001,25.0547665657941,25.0145704543054,
190,6879418.46887497,123692.933283609,1424140.5171427,-1527.20803356891,632.832468991675,7383.60566217725,161925444.601562,-23924983.5064697,-12133396.90625,73630.836473465,-91992.8341779709,-43487.4633178711,-23924983.5065918,30073787.1753092,10618667.929306,-38484.7943035215,6277.90465394408,2349.26280486584,-12133396.90625,10618667.929306,6573233.43066406,-16264.163120985,3243.49570727348,3725.63381958008,73630.836473465,-38484.7943035215,-16264.1631214619,65.4106939671863,-31.7519391677342,-15.241910815239,-91992.8341789246,6277.90465394408,3243.49570715427,-31.7519391677342,65.5074247269029,24.353257406503,-43487.4633026123,2349.26280498505,3725.63381767273,-15.2419108133763,24.353257406503,24.3495792431593,
200,6863751.02983576,130014.026049165,1497893.02596333,-1606.24863435431,631.373985888351,7366.75456668945,163438687.898438,-25233262.645752,-12727224.2910156,77697.6328449249,-91937.8047857285,-42372.1996078491,-25233262.645752,30202297.0843773,10674994.7634888,-39245.1031529605,6571.7922321558,2312.94247400761,-12727224.2910156,10674994.7635193,6648649.96118164,-16632.0559408665,3354.33228242397,3813.15153312683,77697.6328449249,-39245.1031529307,-16632.0559408665,68.3876964179169,-33.213233294664,-15.4442460611463,-91937.8047857285,6571.7922321409,3354.33228254318,-33.213233294664,65.2487139244866,23.6199506288394,-42372.1996078491,2312.94247400761,3813.15153312683,-15.4442460630089,23.6199506288394,23.669122038579,
210,6847294.13462487,136320.171347097,1571472.78141696,-1685.09770496944,629.843006806823,7349.05535693262,165033542.785156,-26548733.805603,-13313285.2666016,81792.1621570587,-91876.7926580906,-41188.8292274475,-26548733.805603,30336630.2914495,10731904.4435577,-40039.0351140201,6860.19357725605,2252.68062227964,-13313285.2666016,10731904.4435577,6725667.56518555,-17009.0257024765,3456.41749674082,3885.68182277679,81792.1621570587,-40039.0351140201,-17009.0257024765,71.4952061708853,-34.6430857164087,-15.5571951642632,-91876.7926580906,6860.19357725605,3456.41749674082,-34.6430857164087,64.9782425206311,22.8557820438873,-41188.8292274475,2252.68062216043,3885.68182277679,-15.5571951661259,22.855782042956,22.9763528501451,
220,6830049.74538496,142610.645173095,1644871.31358482,-1763.74588197921,628.239724368771,7330.51029560741,166710573.621094,-27871667.1570435,-13890974.6533203,85915.3801174164,-91809.3294038773,-39935.7650794983,-27871667.1570435,30476674.6330709,10789063.2170258,-40865.8032639027,7142.86550948024,2167.44420057535,-13890974.6533203,10789063.2170258,6803983.12866211,-17393.6629743576,3549.42606639862,3942.8979845047,85915.3801174164,-40865.8032638729,-17393.6629743576,74.7299823706806,-36.0401266408153,-15.57700156793,-91809.3294038773,7142.86550948024,3549.42606627941,-36.0401266410481,64.6962207142449,22.0617303578183,-39935.7650718689,2167.44420057535,3942.8979845047,-15.57700156793,22.0617303587496,22.2745691334665,
230,6812019.91774804,148884.725494866,1718080.17571208,-1842.18383117921,626.56434035378,7311.12175274089,168470363.214844,-29202320.0539551,-14459656.7099609,90068.1807565689,-91734.9274194241,-38611.3568992615,-29202320.0540771,30622313.124836,10846123.942749,-41724.5871201158,7419.56914675236,2056.22347807884,-14459656.7080078,10846123.942749,6883287.60083008,-17784.5039360523,3633.04857677221,3984.53332233429,90068.1807565689,-41724.5871201158,-17784.5039360523,78.0886466977488,-37.4030146309524,-15.5000102026388,-91734.9274194241,7419.56914675236,3633.04857677221,-37.4030146309524,64.4028679330175,21.2388164547738,-38611.3568992615,2056.22347807884,3984.53332233429,-15.5000102007762,21.2388164538424,21.5672089999378,
240,6793206.80053628,155141.692343645,1791090.94527924,-1920.40224897106,624.817065685495,7290.89220530827,170313511.621094,-30540936.5101929,-15018663.9873047,94251.3939447403,-91653.0803797245,-37213.8932533264,-30540936.510437,30773424.0492353,10902726.4907684,-42614.5333077163,7690.0700895451,1918.0330273509,-15018663.9873047,10902726.4907684,6963267.21704102,-18180.0323698521,3706.99213904142,4010.38357830048,94251.3939447403,-42614.5333077163,-18180.0323698521,81.5676862350035,-38.7304378253757,-15.3226718204096,-91653.0803802013,7690.0700895451,3706.99213904142,-38.7304378251429,64.0984126989886,20.388102645753,-37213.8932533264,1918.0330273509,4010.38357830048,-15.322671818547,20.388102645753,20.8578484898269,
