TIME,EST X1,EST X2,EST X3,EST X4,EST X5,EST X6,STD X1,,,,,,,STD X2,,,,,,,STD X3,,,,,,,STD X4,,,,,,,STD X5,,,,,,,STD X6,
100,6966477.07236001,63879.1330888953,752278.799611518,-807.878034140868,657.139692100299,7504.59491395423,151923780.261719,-12425908.0656738,-6526088.65673828,38370.7446403503,-92307.7197186947,-50675.4359169006,-12425908.0656738,29192790.3738461,10185039.52285,-33288.9972305298,3403.89921620488,1769.47286933661,-6526088.65673828,10185039.52285,6011632.46734619,-13575.7826532125,1904.33370682597,2337.82715463638,38370.7446393967,-33288.9972305372,-13575.7826532125,45.0916836490458,-17.5661312511074,-10.1389316208661,-92307.7197186947,3403.89921620488,1904.33370670676,-17.5661312511074,67.3014139621326,29.4222584764939,-50675.4359169006,1769.47286933661,2337.82715368271,-10.1389316208661,29.4222584764939,29.4376892393291,
110,6957994.4170467,70446.7012056761,827279.54413591,-888.635901437187,656.36124449977,7495.40868871397,152730152.949219,-13683916.8305359,-7166968.41064453,42268.8578252792,-92290.3123526573,-50108.1547317505,-13683916.8305359,29264171.7761486,10223291.5565758,-33720.8720147014,3733.34316706285,1897.43136048317,-7166968.41064453,10223291.5565758,6060390.8414917,-13810.3017454147,2076.11742633581,2536.03195858002,42268.8578262329,-33720.8720147014,-13810.3017454147,46.7992344352486,-19.2584626282332,-10.9669169392437,-92290.3123526573,3733.3431670554,2076.11742657423,-19.2584626282332,67.1577882855734,29.0006638290361,-50108.1547317505,1897.43136042356,2536.03195858002,-10.9669169383124,29.0006638281047,28.9885565919638,
120,6948704.71302897,77006.1044156447,902184.069400165,-969.28615996614,655.506728244392,7485.35127151448,153614656.652344,-14946253.5506592,-7804329.41455078,46184.0837540627,-92270.0620715618,-49483.2200469971,-14946253.5507812,29342111.2645559,10264446.6916809,-34192.1269407421,4059.66137575358,2011.50502884388,-7804329.41455078,10264446.6916809,6113016.0244751,-14063.9578674436,2242.64471235871,2724.37924671173,46184.0837540627,-34192.126940757,-14063.9578674436,48.6621764396503,-20.9325343370729,-11.7422934519127,-92270.0620715618,4059.66137575358,2242.64471235871,-20.9325343370729,67.0007418393314,28.5409590662457,-49483.2200622559,2011.50502872467,2724.37924575806,-11.7422934509814,28.5409590662457,28.5038418976426,
130,6938609.08481829,83556.5825733879,976983.669958682,-1049.81912780963,654.576253154843,7474.42397578076,154577647.78125,-16213279.9231567,-8437777.54589844,50117.8323726654,-92246.6883869171,-48799.673324585,-16213279.9231567,29426543.5451257,10308305.2394791,-34702.2970218733,4382.57634123787,2110.48466676474,-8437777.54394531,10308305.2395096,6169303.25354004,-14335.8935536146,2403.47333657742,2902.11362361908,50117.8323726654,-34702.2970218584,-14335.8935536146,50.6785769815858,-22.5867465973133,-12.4605137212202,-92246.6883859634,4382.57634123787,2403.47333657742,-22.5867465973133,66.8303980197477,28.0437246235088,-48799.673324585,2110.48466688395,2902.11362266541,-12.4605137221515,28.0437246235088,27.9855082986712,
140,6927708.75365774,90097.3766794921,1051669.65405845,-1130.22514079801,653.569938608857,7462.62822655992,155619510.558594,-17485349.8790894,-9066899.77978516,54071.4761705399,-92219.8875288963,-48056.4772834778,-17485349.8790894,29517397.7991381,10354651.1137924,-35250.8783974499,4701.81312182546,2193.17511898279,-9066899.77978516,10354651.1137924,6229033.01922607,-14625.1817091703,2558.1707097888,3068.51626157761,54071.4761695862,-35250.8783974648,-14625.1817094088,52.8463425188627,-24.2195168187609,-13.1170918075368,-92219.8875279427,4701.81312182546,2558.17070966959,-24.2195168187609,66.6468906885082,27.5095895393752,-48056.4772758484,2193.17511886358,3068.51626443863,-13.1170918075368,27.5095895403065,27.4356826117098,
150,6916005.03733764,96627.7289760722,1126233.34475387,-1210.49455387441,652.487913533179,7449.96556023881,156740656.351562,-18762808.9648438,-9691262.71679688,58046.3471622467,-92189.3327503204,-47252.5171661377,-18762808.9648438,29614597.7363758,10403252.0773621,-35837.328739807,5017.09954423457,2258.39640617371,-9691262.71679688,10403252.0773621,6291971.82440186,-14930.8268401027,2706.31465086341,3222.90779447556,58046.3471622467,-35837.3287397921,-14930.8268401027,55.1632204008008,-25.8292809580162,-13.7076081554405,-92189.3327503204,5017.09954422712,2706.31465086341,-25.8292809580162,66.4503640939172,26.9392309959512,-47252.5171661377,2258.39640617371,3222.90779542923,-13.7076081535779,26.9392309959512,26.8566536625683,
160,6903499.34999766,103146.883042226,1200666.08101871,-1290.61774245199,651.330316396587,7436.4376242546,157941522.570312,-20045993.7329102,-10310411.1396484,62043.73391819,-92154.6746759415,-46386.6020507812,-20045993.7329102,29718061.6525679,10453860.007019,-36461.0676910803,5328.16641110927,2304.98483788967,-10310411.1396484,10453860.007019,6357873.00341797,-15251.7663787603,2847.49414670467,3364.65118598938,62043.73391819,-36461.0676911101,-15251.7663787603,57.6268007472343,-27.4144948624889,-14.2277144556865,-92154.6746759415,5328.16641110927,2847.49414658546,-27.4144948624889,66.2409727839356,26.3333737961948,-46386.6020507812,2304.98483765125,3364.65118598938,-14.2277144556865,26.3333737961948,26.2508703825831,
170,6890193.20191537,109654.083889424,1274959.21885512,-1370.58510376729,650.097295203708,7422.04617679885,159222572.085938,-21335231.1376953,-10923866.5878906,66064.8786067963,-92115.5416479111,-45457.4661865234,-21335231.1375732,29827702.4909859,10506211.1775513,-37121.4773306251,5634.74770741165,2331.79411518574,-10923866.5878906,10506211.1775513,6426477.59661865,-15586.8720971942,2981.31010407209,3493.154545784,66064.8786067963,-37121.4773306251,-15586.8720971942,60.234518451495,-28.9736356044305,-14.6731384480372,-92115.5416479111,5634.74770741165,2981.31010395288,-28.973635604314,66.0188815167592,25.6927898451686,-45457.4661865234,2331.79411518574,3493.154545784,-14.6731384480372,25.6927898442373,25.6209398789167,
180,6876088.1992812,116148.578056837,1349104.13239968,-1450.38705823278,648.789007489273,7406.79308651471,160584292.054688,-22630837.9425049,-11531125.9707031,70110.9741191864,-92071.5401153564,-44463.7705841064,-22630837.9425049,29943427.9081135,10560026.5640869,-37817.9026724398,5936.58080482483,2337.69642150402,-11531125.9726562,10560026.5640869,6497515.28173828,-15934.951618433,3107.37609088421,3607.87393188477,70110.9741210938,-37817.9026724398,-15934.951618433,62.9836553122684,-30.5052028038772,-15.0396886859089,-92071.5401144028,5936.58080483973,3107.37609100342,-30.5052028038772,65.7842651637573,25.0182975740172,-44463.7705841064,2337.69642138481,3607.87393379211,-15.0396886859089,25.0182975740172,24.9696253930986,
190,6861186.04395994,122629.61370661,1423092.21502639,-1530.01405079175,647.405620312383,7390.68033218621,162027193.003906,-23933120.1348267,-12131660.2119141,74183.1612081528,-92022.255038023,-43404.1045837402,-23933120.1348267,30065140.3434286,10615012.1625824,-38549.6521937102,6233.40666471049,2321.5835006237,-12131660.2099609,10615012.1626129,6570705.36157227,-16294.7500193119,3225.31906992197,3708.31608390808,74183.1612081528,-38549.6521936804,-16294.7500193119,65.8713423003744,-32.0077199430089,-15.3232592549175,-92022.255038023,6233.40666471049,3225.31906992197,-32.0077199432417,65.5373086073476,24.3107613450848,-43404.1045837402,2321.5835006237,3708.31608390808,-15.3232592549175,24.3107613441534,24.2998439056635,
