tSec,ra,dec,range,range_rate,
5800,99999999,99999999,99999999,99999999,
5810,99999999,99999999,99999999,99999999,
5820,99999999,99999999,99999999,99999999,
5830,99999999,99999999,99999999,99999999,
5840,99999999,99999999,99999999,99999999,
5850,99999999,99999999,99999999,99999999,
5860,99999999,99999999,99999999,99999999,
5870,99999999,99999999,99999999,99999999,
5880,99999999,99999999,99999999,99999999,
5890,99999999,99999999,99999999,99999999,
5900,99999999,99999999,99999999,99999999,
5910,99999999,99999999,99999999,99999999,
5920,99999999,99999999,99999999,99999999,
5930,99999999,99999999,99999999,99999999,
5940,99999999,99999999,99999999,99999999,
5950,99999999,99999999,99999999,99999999,
5960,99999999,99999999,99999999,99999999,
5970,99999999,99999999,99999999,99999999,
5980,99999999,99999999,99999999,99999999,
5990,99999999,99999999,99999999,99999999,
6000,99999999,99999999,99999999,99999999,
6010,99999999,99999999,99999999,99999999,
6020,99999999,99999999,99999999,99999999,
6030,99999999,99999999,99999999,99999999,
6040,99999999,99999999,99999999,99999999,
6050,99999999,99999999,99999999,99999999,
6060,99999999,99999999,99999999,99999999,
6070,99999999,99999999,99999999,99999999,
6080,99999999,99999999,99999999,99999999,
6090,99999999,99999999,99999999,99999999,
6100,99999999,99999999,99999999,99999999,
6110,99999999,99999999,99999999,99999999,
6120,99999999,99999999,99999999,99999999,
6130,99999999,99999999,99999999,99999999,
6140,99999999,99999999,99999999,99999999,
6150,99999999,99999999,99999999,99999999,
6160,99999999,99999999,99999999,99999999,
6170,99999999,99999999,99999999,99999999,
6180,99999999,99999999,99999999,99999999,
6190,99999999,99999999,99999999,99999999,
6200,99999999,99999999,99999999,99999999,
6210,99999999,99999999,99999999,99999999,
6220,99999999,99999999,99999999,99999999,
6230,99999999,99999999,99999999,99999999,
6240,99999999,99999999,99999999,99999999,
6250,99999999,99999999,99999999,99999999,
6260,99999999,99999999,99999999,99999999,
6270,99999999,99999999,99999999,99999999,
6280,99999999,99999999,99999999,99999999,
6290,99999999,99999999,99999999,99999999,
6300,99999999,99999999,99999999,99999999,
